# FILE DATA
ID : MDRW2100036509
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아 이런..ㅋㅋㅋㅋ컵???은 그래도 쓰임이....ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 컵이 이쁘기만해서 동생한테 볼펜꽂이하라고 줬습니다...
P1 	: 그뒤로는 저도 행방을 몰라요 ㅋㅋㅋㅋ
P1 	: 아마 방에 볼펜이 꽂힌채로 있을거예요...
P0 	: 어딘가에 잘....
P0 	: 저도 그래서 예전에는 뭐라도 산것 같은데 요즘엔 안사요
P1 	: 그러면 혹시 여행 준비하시면서 구입하는 건 있으세요?
P1 	: 여행할때 이런건 꼭 챙긴다!
P0 	: 애들이 있으니 체온계ㅠㅠㅠㅠ 해열제..ㅠ
P0 	: 희안하게 널러가면 아파여ㅠㅠ 그래서 해열제는 꼭 구비해둬요ㅠ
P1 	: 아아.....ㅜㅜ
P1 	: 지퍼백이런것도 여벌로 챙기시겠어요
P1 	: 저도 근데 여행갈때 약통을 맨날 사요!
P1 	: 여행지에서 챙겨먹을 영양제라던가... 뭐 두통약 같은 비상약 통을 맨날사는데
P1 	: 여행가려고하면 안보이고 안보이더라구요 ㅜ
P0 	: 맞아여 비닐, 지퍼팩, 바리바리, 약통 ㅎㅎ 잊어버리시는구나
P1 	: 진짜 매번사는거같아요..
P0 	: 아 맞아여 찾으면 없음 꼭 사고 나면 나타남
P0 	: 약통 나중에 막 여려개.. 발견 되실듯
P1 	: ㅋㅋㅋㅋㅋ그럴수도.....
P1 	: 그리구 배낭도요!
P1 	: 유럽여행갈때 배낭을 샀거든오
P0 	: 유럽은 배낭여행 ㅋㅋ
P1 	: 근데 그 뒤로 쓸일이 없어서 한번쓰고... 8년을 그냥 보관했다가
P1 	: 진짜 헐값에 중고나라에서 팔았거든요
P0 	: 나중에 다시.. ㅋㅋ
P0 	: 갈일이 생겨서 ..ㅋㅋ
P1 	: 근데 딱 팔고난 그 겨울에 ㅋㅋㅋㅋ
P1 	: 배낭이 필요하지 뭐예요....
P1 	: 다시 샀잖아요 ㅠㅠ
P0 	: 차라리 8년까지 안 데리고 있었으면 덜 억울한데
P1 	: 아놔...
