# FILE DATA
ID : MDRW2100009446
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근 극장 가보셨나요?
P1 	: 아니요:)
	  저는 코시국 이후에는
	  가본적이 없네요
P1 	: &name1&님은요?
P0 	: 저도요.. 온라인 콘서트만 몇번 본듯..
P0 	: 원래 극장가는건 좋아하세요?
P1 	: 네:) 코시국 전에는
	  영화관가는거 좋아했었어요^^^^
P1 	: 온라인 콘서트는 어때요?
P1 	: 한번도 본 적이 없어서 궁금하네요
P0 	: 그냥 유튜브 보는거랑 차이없죠... 
	  말이 온콘이지.. ㅋㅋㅋㅋ
P0 	: 1년에 극장 몇번정도 가셨어요? vip?
P1 	: 네:) cgv는 늘 vip였어요ㅋㅋ
P1 	: 온라인콘서트도 예약하는건
	  치열하죠?
P0 	: 헐.. vip.. 
	  네.. 근데 무려도 많아요..
P0 	: 자치단체나 방송국에서 예산소진용으로 하는거 같아요..
P0 	: 근데 음방이랑 다를게 엄서요..ㅋㅋㅋ
P1 	: 오잉 ㅠㅠ 전송이 안되었네요
P1 	: 온콘은 어느 분꺼 보신거에요?
P0 	: 서울우유꺼랑 경기도꺼랑.. 
	  은근히 온라인 콘서트 많더라구요.. ㅋㅋ
P0 	: 사싱.. 쁘걸 좋아해서 찾다보니..ㅋㅋ
P1 	: 오호ㅋㅋ저도 검색 들어가봐야겠어요
P0 	: 가수 누구 콘서트 가보신적 이썽요?
P1 	: 아니요ㅠ.ㅜ
	  가보고는 싶었는데
	  사람 많은 곳을 싫어하기도 하고
	  크리스마스 시즌에 가보려고 하니
	  티켓예약 전쟁이라 늘 실패요ㅠㅋ
P1 	: &name1&님은요?
P0 	: 저도 콘서트 한번도 못가봣어요.. 
	  딱히 좋아하는 아티스트도 없었고..
