# FILE DATA
ID : MDRW2100031779
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  주 1~2회

P1 	: 너무 좋아요 가을이에요 저 저희애들 가을다람쥐 커미션 생각나요
P0 	: 아~~ 그거 넘귀여웠죠ㅠ
P0 	: 포근포근해보이고...
P0 	: 그분 커미션이 너무 늦어서 흠...했던거같은데
P0 	: 결과물은 넘넘 귀여웠던 기억...
P1 	: 맞아요....... 너무 늦었는데 대신 겨울 눈토끼도 서비스로 주셔서...눈색은 좀 미스였지만ㅜㅋㅋㅋㅋㅋㅋ....결과물은 귀여웠어요 cute....
P0 	: ㅋㅋㅋㅋㅋㅋㅜㅜ에반귀여우니까..
P0 	: 괜찮아요 쭈물럭함
P0 	: 애들 가을준비는 잘햇을까요
P0 	: 에반은 배색이 그래서그런가 가을이 잘어울리는거같아요
P1 	: 나중에 지크랑 에반 다른 커미도 넣구싶어요 뽀시락...
P1 	: 헉 맞아요ㅋㅋㅋㅋ고동색 쪽이라 그런가 가을 어울리죠! 눈은 또 겨울하늘 색이지만 (곰곰)
P1 	: 가을 준비....헐....지크가 가을에 트렌치 입어주면 좋겠어요(뜬금)
P0 	: 조아요 제가 함 깜찍한 커미를 찾아보겟습니다 요즈음에찾으며
P0 	: 또 가을겨울즈음 분위기려나요 생각중
P0 	: 지크랑 에반... 트렌치코트 입고 데이트하기
P0 	: 에반은 젊어서 그런가(?) 초가을이면 그냥 니트정도만입은것도
P0 	: 기여울거같군요
P1 	: 꺅 좋아요.....헉 가을겨울도 좋고 저 봄여름도 늘 좋아해요 이른 커미션 미리넣기(?)
P1 	: ㅋㅋㄱㄱㅋ맞아요...에반은 니트정도만 입어도 젊어서 완전 커버가능이에요 지크 백허그하기~(코트꾸김)(?)
P1 	: cute...나중에 날 쌀쌀해지면 지크 머플러도 둘러줄래요....
P0 	: 이른커미션미리넣기도좋죠...
P0 	: 보고기력날때 직접그리기도 해볼게요(?)
P0 	: 머플러는 그럼 긴 머플러로해서...
P0 	: 둘이 같이 쓸래요 어떠세요
P1 	: 헐.....너무 좋아요 긴 머플러 같이 쓰기 88))!!!!!!
P1 	: 일부러 짧은 척 옆에 붙는 에반 있어요(?)
P0 	: ㅋㅋㅋㅋㅋㅋ귀여워요
P0 	: 머플러 탓 안해도 가까이 붙어도 된다고 말해줄래요
P1 	: 너무좋아.....같이 겨울철 간식도 나눠먹고 맛있는 거 잔뜩 먹여야해요ㅠㅁㅠ.....
P1 	: 헐...저 울 애들 벽난로앞 안락의자에 같이 앉아서 담요덮은 것도 귀여울 것 같아요....
P0 	: 좋아요 그것도...
P0 	: 외국은... 난로에 군고구마 안구워먹겠죠 갑자기 이런생각하는
P1 	: ㅋㅋㅋㅋㄱ외국은...그러게요 군고구마 안구워먹을 것 같아요 ㅋㅋㅋㅋㅋㅋ어라 바베큐는 할 것 같은데...거기 넣어서는 안 먹을까 고민중인(?)
P0 	: 둘이서 어디 여행가서
P0 	: 저녁으로 바베큐 구워먹어도 귀엽겟다싶은데
P0 	: 지크가 늙어서(,,) 그페이스 못따라갈거같다는 생각도 드네요
P0 	: 갑자기 고민중
P0 	: 생각정리해오겟습니다(?)
P1 	: ㅋㄱㄱㅋㅋㅋㅋㅋㅋ아ㅜ 에반이 구워주면 되는 거 아닐가요 헉 애들 캠핑(두근) 쪼아요 생각정리하고....불판갈아주세요(?)
