# FILE DATA
ID : MDRW2100004533
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요:) 좋아하는 유튜브나 tv프로그램 있나요??
P1 	: 안녕하세요~!! 저는 문명특급이랑 홍진경채널 챙겨봐요 ㅎㅎㅎ 완전 재밋어요!!
P0 	: 오! 저도 문명특급 좋아하는데 홍진경채널은 소문만 들어봤어요! 찐천재..? 봐야지 봐야지 생각은 하는데 아직 못 보고 있네요 ㅎㅎ
P1 	: ㅋㅋㅋ 약간.. 채널명에 공부가 들어가서 왠지 진입장벽이 높은데 ㅋㅋㅋㅋㅋㅋ
P1 	: 한번보면 재밋어서 계속 봐요!!
P1 	: 공부준비편 추천합니다 ㅋㅋ
P1 	: &name1&님은 어떤 채널 구독하셨어요? ㅎㅎ
P0 	: 저는 송은이, 김숙 나오는 비보티비랑 고양이 채널인데 매탈남이라는 채널 즐겨 봐요! 홍진경채널 좋아하시면 비보티비 추천드립니다 ㅎㅎ
P1 	: 고양이.!!!!
P1 	: 저 고양이 짱 좋아해요
P1 	: 비보티비도 가끔 봐요!!! 전에 김숙언니 집 리모델링하는거 몇번 봣어요 ㅋㅋㅋ
P0 	: 아 ㅋㅋㅋㅋㅋ 그거 너무 쫓겨나서(?) 너무 아쉬웠어요 ㅋㅋㅋㅋ 은이언니가 그 집 아지트로 쓰는 거 보고싶었는데 ㅋㅋㅋㅋ
	  요즘 김숙티비도 보는데 거기 아기고양이 나오거든요! 숙이언니랑 고양이가 케미가 좋아서 너무 귀여워요 ㅋㅋㅋ
P1 	: 귀중한 정보 감사합니다... 
P1 	: 아기고양이는 언제나 사랑이죠
P1 	: 아 !! 그리고 노는언니라고 스포츠예능 있는데 이것도 재밌어요!
P0 	: 오! 그건 어느 채널에서 하나요?? 처음 들어봤어요! 운동선수들 좋아해서 완전 취향일 것 같아요 ㅋㅋㅋ
P1 	: 공중파 방송이나 넷플릭스에 올라오는데 전 둘다 없어서 유투브로 클립봐요 ㅎ.ㅎ!!
P1 	: 다음주에 올림픽 선수들 나온대서 완전 기대중이어요 ㅎㅎㅎㅎㅎ
P0 	: 오! 더 재밌겠네요 ㅎㅎ
	  이번에 활약한 선수들 방송에 자주 나와줘서 더 좋은 것 같아요!
	  종목 협회들에서도 유튜브에 계정 잘 돌려줬으면 좋겠어요 ㅎㅎ
P1 	: 맞아요 !!! 컨텐츠를 달라
P1 	: 협회연맹들 진짜 일 잘하는데 별로 없어요 
P0 	: 그쵸! 답답~ 합니다~
	  인기 많은 스포츠들도 그 모양이라 기대 없긴해요ㅠㅠ ㅋㅋㅋㅋ
P0 	: 다른 나라는 진짜 콘텐츠가 넘쳐나던데... ㅎㅎ
P1 	: 에효 한국 고인물들이.. 그렇죠 ^^*
