# FILE DATA
ID : MDRW2100029684
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 코로나라 애들이 학교 못가서
P0 	: 엄청 정신없으시겠어요ㅠ
P1 	: 네 대구는 매일가는데
	  어제오늘은 교사2차접종이라서 집에서수업해요
P1 	: 먹이는게 젤힘든거같아요
P0 	: 아하ㅜㅠ 아이들이 입이 짧은가요?
P0 	: 육아만큼 힘든게 없는 것 같아요ㅠ
P1 	: 잘먹긴하는데..음식하는게 힘들어서요 ㅠ
P0 	: 메뉴 정하는것부터 쉽지 않은것같아요,,,,
P0 	: 자취할 때 맨날 오늘 점심 뭐먹지 저녁뭐먹지
P0 	: 이런생각만 했어요ㅋㅋㅋㅋㅋ...ㅠㅠㅠㅜ
P1 	: 맞아요 전날밤부터 낼은뭐먹지 그생각만요 ㅠ
P1 	: 먹고사는게 힘든거같아요ㅠㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ맞아요ㅠㅠㅠ
P0 	: 다른 집안일도 힘드시죠
P0 	: 아이있으면
P1 	: 네 딱히 하는거없이 정신없는듯해요
P1 	: 결혼하셨어요?
P0 	: 아뇨!
P0 	: 결혼은 안했습니닷
P1 	: 아 지금이 가장좋으실땝니다 즐기세요^^
P0 	: 아ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 어린 동생이 있는데,
P1 	: 어리나요?
P0 	: 동생을 보면 뭔가 결혼하고 애낳는게 너무 무서워요ㅋㅋ
P0 	: 네 지금은 중1입니닷
P0 	: 너무 말을 안들어서.....ㅎ
P0 	: 막둥입니다ㅎㅎ
P1 	: 아 ㅎㅎ 동생이있어서 그런생각이들만하네요
P1 	: 한참 사춘기라서 더그렇겠어요 ㅋ
