# FILE DATA
ID : MDRW2100044644
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 쌀국수 좋아하시나요???
P0 	: 완전 좋아해요 ㅠㅠ
P0 	: 누누씌는요?
P1 	: 저는 쌀국수보단 파스타가 더 잘맞아요ㅋㅋ쿠ㅜ
P0 	: 오우 저도 파스타도 좋아하는데
P0 	: 날씨가 이래서 그런가 쌀국수 완전 땡겨요
P0 	: 파스탄ㄴ 어떤 파스타 좋아하세요?
P1 	: 매운크림파스타요!!!
P1 	: 블루님은요?
P0 	: 오 매운크림파스타!!!!
P0 	: 전 요즘 오일이 엄청 땡겨요 ㅠㅠ
P0 	: 감바스 먹고싶어요
P1 	: 아아앜
P1 	: 감바스 존맛이에요
P1 	: 저 올리브오일 진짜 좋아하거든요
P1 	: 올리브오일에 맛있는거만 넣어서 끓이면 감바스!!
P0 	: 오!!! 전 여태까지ㅜ집에서 해먹을때 매번 시판 파스타 소스 넣어서
P0 	: 해먹얶는데 다음엔 누누씌방법으로 한번 해볼게요
P1 	: 새우 페퍼론치노 마늘이 끓여진 올리브오일에
P1 	: 빵 찍어먹으면
P1 	: 크으
P0 	: 역시ㅠ맛잘ㅇ알 ㅠㅠ
P0 	: 저 갑자기 간장게장도 넘 먹고파요
P1 	: 헉 맛있겠다
P1 	: + 양념게장도...
P0 	: 그쵸..
P0 	: 휴 내일은 좀 맛있는걸 많이 먹어야겠어요
P1 	: 그럼요 그럼요
P1 	: 맛있는거 매일드세요
P0 	: 내일은 꼭꼭 쌀국수를 먹어야게ㅛ어요
