# FILE DATA
ID : MDRW2100021242
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 언제쯤코로나가잠잠해질까요...ㅠㅠ
P0 	: 그러게요ㅠㅠ 코로나이전에는
P0 	: 이맘때쯤 항상 경주를 갔었는데요...
P0 	: 아쉬워요
P1 	: 오 경주 덥지 않아요??
P0 	: 덥긴한데 지금쯤가면 한낮빼고는 걷기좋아서 숙소에서 쉬다가 나오면 딱이예요
P1 	: 오오오오
P1 	: 그거너무좋네요!!
P1 	: 코로나잠잠해지면
P1 	: 경주가봐야겟어요
P0 	: 요즘은 사람이 많아졌긴한데 저도 또가고싶네요
P0 	: 부산은 가본적 있으세요?
P1 	: 네네!!
P1 	: 거의매년갑니당
P0 	: 자주 가시는구나 어디 어디 가보셨어요?
P1 	: 할머니가부산사셔서
P1 	: 막 어딜 돌아다녀 보진 않았어요ㅋㅋㅋ
P1 	: 해운대말곤
P1 	: 거의 안 가본 것 같아요
P0 	: 그러시구나 저 부산사람이라
P0 	: 좀 추천드릴까요?
P1 	: 오오오오
P1 	: 네네!!너무좋죠!!
P0 	: 요즘은 사람이 좀 많아지긴 했는데요
P0 	: 흰여울길이라고 있는데 바다가 한눈에 보이는곳이라
P0 	: 카페 경치가 너무 좋아요
P0 	: 어딜가도 경치가 좋은데 개인적으로는 에테르 추천드려요
P0 	: 남포동에서 버스로 조금 더 가시면 돼요
P1 	: 오 방금 찾아봤는데
P1 	: 진짜 뷰가
P1 	: 끝내주네요!!
P1 	: 좋은 정보 감사합니다!!
P0 	: 해운대쪽은 해목이라는 장어덮밥집 있는데요 추천드려요
P1 	: 오오오오
P1 	: 장어 좋아하는데 감사해요
