# FILE DATA
ID : MDRW2100015644
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 또 무슨연예인이있을까요ㅎㅎ
P1 	: 이상민하면 탁재훈인가요?ㅎㅎ
P0 	: 음 ~~~~~~
P1 	: 탁재훈은 왠지... 비호감은 아닌데
P1 	: 음...ㅎㅎㅎㅎㅎ
P0 	: 탁재훈하니 컨추리꼬꼬가
P1 	: 맞아요ㅎㅎ
P1 	: 진짜,대단했어요ㅎㅎ
P1 	: 크리스마스~
P0 	: ㅋㅋㅋㅋ 오해피 붐붐붐
P1 	: ㅎㅎㅎㅎㅎㅎ
P1 	: 너무 좋았져
P1 	: 아마 컨추리꼬꼬가 그당시아이돌들 다제쳤을껄요?
P0 	: 말빨이 ㅋㅋ
P1 	: 둘이 정말 재밌었져ㅎㅎ
P1 	: 근데 끝이 다들 아쉽네요 ㅎ
P1 	: 신정환도ㅎㅎ 탁재훈도ㅎ
P0 	: 이궁 잘못된선탯 ㅜㅜ
P0 	: 안탑깝졍
P1 	: ㅎㅎ 본인의 선택이니깐요ㅎ
P1 	: 둘다 도박을... ㅍ
P1 	: 틱재훈은 이수근이랑 스포츠 도박
P1 	: 신정환은 원정도박에ㅎ
P0 	: 흑흑 ㅜㅜ
P0 	: 아쉬운 일이에요
P0 	: 다른것도 많은데 하필
P1 	: 그니깐요ㅍ
P1 	: 도박은 못끊ㅇ어ㅛㅎ
P0 	: 지금은 그래도 정신차려서 다행인거 같아요
