# FILE DATA
ID : MDRW2100026949
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그럼..불도 안 들어오잖아요ㅜㅜㅜ
P0 	: 그래서 안쪽을 열어서
P0 	: 오른쪽 귀로 올라가는 선을
P0 	: 잘라버릴까 생각중이에요
P1 	: 아닠ㅋ 과연 능력자ㅋㅋ
P0 	: 아직 계획만 ㅋㅋ
P0 	: 아니면 안쪽에 울리는 거 빼버려도 ㅋㅋㅋ
P1 	: 딴사람들은 건전지를 뺄때
P1 	: 개조할 생각을 하시다니ㄷㄷㅡ
P0 	: 일단 내일 성공 구매하시고
P0 	: 코레일 역사 내
P0 	: 스토리웨이 편의점을
P0 	: 잘 찾아다니십셔
P1 	: 거기를 집중공략해야 하는군요!!
P1 	: 넵넵!
P0 	: 근데 일반인이 코레일 역사 알기 어려운데
P0 	: 간단하게 1호선 : 서울역~청량리 제외구간
P0 	: 근데 또 서울역 청량리는 기차역 있어서
P0 	: 시청~제기동 뺀 1호선 역
P1 	: 아니ㅎㅎ 뭐죠 이거암호인가요
P1 	: 전 그냥 서울역 가면 될줄ㅜㅜㅜ
P0 	: 서울역 가시면 돼요 사실ㅋㅋ
P0 	: 근데 혹시 거기 재고 없을까봐요
P1 	: 아ㅎ 넹넹 일단 얘기해주신거 캡쳐했어요ㅎ
P0 	: ㅋㅋ성공 구매하실거라고
P0 	: 믿습니다
P0 	: 라이언역장 군단에 동참하세요!
P1 	: ㅋㅋ 무려 군단인가요ㅋㅋ
P1 	: 전철역성 인형찾아 헤매다 동료 만나고ㅋㅋ
P1 	: 얼른 실물 영접하고 싶네요ㅎ
