# FILE DATA
ID : MDRW2100015233
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 유튜브는 예전에 많이 봤는데
P1 	: 요즘 광고 때문에 보기 싫어져서 잘 안봐요..
P0 	: 아 맞아요 ㅋㅋㅋ
P0 	: 저는 동물나오는거
P0 	: 하하하 이런거 좋아해요
P1 	: 애니멀봐?
P0 	: 근데 유투브 광고심하죠
P0 	: 애니멀봐 좋아해요!!!
P1 	: 애니멀봐 귀여워요 ㅋㅋ
P1 	: 저는 아이티나 다이어트 관련 영상 봐요~
P0 	: 맞아요 동물농장이런거재밓더라구요
P0 	: 다이어트 식단 이런거 참고할거 많더라고요
P1 	: 아 동물농장 귀여워요 ㅜ 볼 때마다 저도 개 키우고 싶네요.
P1 	: 오호 .. 저는 이론만 봐요 ㅋㅋㅋㅋㅋㅋ
P0 	: 그 바프찍기 몇주전 영상 올리고 이런것도 신기하고
P0 	: 아하
P0 	: 혹시 뷰투버도 보세요??
P1 	: 어머 뷰튜버면 뷰티 유튜버요?
P0 	: 네 ㅋㅋㅋ
P1 	: 남자라 그냥 아무거나 쳐바릅니다..
P1 	: 예전에 화해? 그거 비교하는 영상이랑 뷰티겟잇? 이런건 본 적 있었어요..
P0 	: 아하 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그런거 재밌죠 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 뷰티는 화장품 정보 얻긴 괜찮더라구요
P0 	: 좋아하는 연예인은 있으세요??
P1 	: 가끔 광고 냄새가 나긴 한데..
P1 	: 저 서강준 형 좋아해요
P0 	: 맞아요 유투브광고심해요
P0 	: 아 서강준 진짜 너무 잘생겼죠 ㅠ
P1 	: 박보검씨도 좋아요
P0 	: 아하 전 차은우 좋아해요 ㅋㅋㅋㅋㅋ
P1 	: 한 때 제 롤모델이였어요 박보검님..
P0 	: 그럴만해요
P1 	: 차은우님 인기 진짜 많은 것 같아요 얼굴천재라고..
