# FILE DATA
ID : MDRW2100029308
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 음 둘다 그렇게 느껴요
P1 	: 와이프도
P1 	: 맨날 하는말이
P1 	: 혼자 있고 싶다
P1 	: 나 1박2일로 좀 다녀오면 안돼?
P1 	: 라고 합니다
P0 	: 아ㅋㅋ
P1 	: 1년반동안
P1 	: 육아하니까
P1 	: 피로?
P0 	: 아이고ㅜㅜ;; 장난 아니죠;;
P1 	: 정신적 육체적으로
P1 	: 온거같더라구요
P1 	: 그래서!
P1 	: 이번주 일요일에
P1 	: 나가라고 했습니다
P0 	: 아ㅎㅎㅎ 어디로요!
P1 	: 안가르쳐주더라구요 ㅋㅋ
P0 	: 그거 &name2&도 해방일 아닌가요ㅎㅎ
P1 	: 멀리 바람쐬러 가라고했서요
P1 	: 놉
P1 	: 독박육아입니다
P1 	: 아기 봐야죠 ㅎㅎ
P1 	: 빡셉니다 ㅋㅋ
P1 	: 차라리 일하는게 나아용
P0 	: 아 뿔 싸 가 왜 나쁜 말이죠ㅜ
P1 	: 아뿔싸
P0 	: 육아휴직한 선배들이
P0 	: 예정보다
P1 	: 빨리?
P0 	: 어 왜 님은 되죠!
P1 	: 아뿔싸
P0 	: 네 빨리 복귀해서
P0 	: 일이 낫다고 ㅎㅎ
P1 	: 육아 쉽지않습니다 ㅋㅋㅋ
P1 	: 일이 낫습니다 진짜
P0 	: 맞아요ㅜ 아기 귀여운것과 힘든건 별개라
P1 	: 맞아여 ㅋㅋ
