# FILE DATA
ID : MDRW2100032046
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 점심
P0 	: 준비하셔야죠 ㅎㅎ
P1 	: 그러게요ㅋㅋㅋㅋㅋ 요즘은 뭐가 맛있을까요
P1 	: 냉동실에 넣어놓은 치킨텐더 데워먹을까도 싶은데
P1 	: 유통기한 임박제품으로 싸게 사서 쟁여놨거든요!
P0 	: ㅋㅋ치킨텐더 맛있겠네요
P0 	: 저도 고민중이에요
P0 	: 간단히 할지
P1 	: ㅋㅋㅋㅋㅋ점심 후보로 뭐뭐 정해두셨나요?
P0 	: 닭가.슴살 도시락
P0 	: 해야지 싶어요ㅋㅋ
P0 	: 이따 저녁에 나갈거라
P1 	: 도시락 좋죠ㅋㅋㅋㅋㅋㅋ
P1 	: 간편하게 먹을 수 있는게 역시 최고인 것 같아요
P1 	: 도시락은 미리 사둔 냉동도시락 같은건가요?
P0 	: 네 허닭이요 ㅎㅎ
P1 	: 앗 허닭 맛있나요ㅋㅋㅋㅋㅋ
P1 	: 워낙 닭가슴살 브랜드들이 많이 나와서
P1 	: 뭐가 맛있는지 모르겠더라구요
P1 	: 전 아임닭 큐브닭가슴살 먹어봤는데 이건 맛있었고
P0 	: 요새는 뭐
P0 	: 왠만하면
P0 	: 다 맛있죠!ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ맞아요 다이어트 식품 시장이 커지면서 웬만한건 다 맛있게 나오더라구요ㅋㅋㅋ
P1 	: 얼마전에 수비드 닭가.슴살 먹어봤는데 이것도 너무 맛있었어요
P0 	: ㅋㅋ예전엔 뻑뻑했던거 같은데
P0 	: 다행이에요
P1 	: 맞아요ㅋㅋㅋㅋㅋㅋ 수비드 진짜 너무 부드럽고 맛있더라구요
P1 	: 예전에는 닭찌하면 뻑뻑한 걸로 유명했는데 사람들이 못해낼 일은 없나봐요
P1 	: 너무 맛있어서 수비드 기계도 좀 관심가더라구요 예전에는 왜 번거롭게 저런걸 하나 싶은 마음도 있었는데 직접 먹어보니 알 것 같아요ㅋㅋㅋㅋㅋ 너무 맛있어요
P0 	: 수비드기계까지 사시려고요?ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ아뇨 아무래도 공간을 많이 잡아먹어서 사긴 힘들겠지만 잠깐 뽐뿌가 왔었어요
P1 	: 사실 에어프라이어 조차도 놓을 공간이 부족해서 못 사겠더라구요
