# FILE DATA
ID : MDRW2100018926
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 남성
birthplace : 서울
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그냥 정으로 본세월이 있어 산단말이 사실입니다
P1 	: 아 저 지금 피부가
P0 	: 정답게 사는게 최고군요ㅋ 건강에도 최고죠ㅋ
P1 	: 엉망입니다 ㅡㅡ
P1 	: 마스크땜시 뾰루지 ㅋㅋ
P0 	: 맞아요
P0 	: 마스크ㅠ
P1 	: 그럼요 싸우면 늙어요
P1 	: 왕만합니다 ㅋㅋ
P1 	: 뾰루지
P0 	: 그래도 뾰루지 따위
P1 	: 근데 원래 여드름도 안난 피부인데
P0 	: 저흰 우울감이 있는 가족때문에 걱정이에요
P1 	: 당황스럽네요 ㅋㅋ
P1 	: 아
P0 	: 와 복받으셨다!!
P1 	: 치료하셔야 하는데
P0 	: 그럴까요? ㅠ
P1 	: 전 약간 공항장애가 코로나로
P1 	: 생겼었는데
P0 	: 아..
P1 	: 약물치료로 좋아졌어요
P1 	: 치료하셔야 해요
P0 	: 진료받는게 좋군요
P0 	: 확실히 다른가요?
P1 	: 그럼요
P0 	: 이유가 딱히 없는데
P1 	: 방치하시면 안돼요
P0 	: 그래서 우울증인가봐요
P1 	: 요새 상황이 그래요
