# FILE DATA
ID : MDRW2100005526
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: ㅇㅎ...ㅠㅠ 가족들 다 매운 거 못 드셔?
P0 	: 그것도 있고
P0 	: 몸에 안좋대서
P0 	: 너넨 뭐 배달해먹어
P1 	: 아 하긴
P1 	: 우리는 보통 치킨이나 회 시켜 먹는데
P0 	: 오오
P1 	: 동생이 마라탕 진짜 좋아하거든
P0 	: 맛있더라 마라탕
P1 	: 그래서 아빠 오시면 아빠가 동생 먹이자고 마라탕 시켜
P1 	: ㅇㅈㅇㅈ
P0 	: 우린 감자탕 자주먹어
P0 	: 요리를 잘 안함
P1 	: 잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 요즘 밥 챙겨먹는게 귀찮아서 좀 걸렀더니
P0 	: 웅웅ㅇ
P1 	: 엊그제 엄마한테 혼남 ㅜㅠ
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 아예 안먹었어?
P1 	: 어어....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하루에 한 끼 먹고 그랬긴 함
P0 	: 위 상해..
P1 	: 잉... 요즘 다시 챙겨먹는 중...ㅋㅋㅋㅋㅋㅋ
P1 	: 나 영어 과외 해주는 선생님은
P1 	: 자기가 요리해서 먹고 살려고 돈 번대
P0 	: 아하
P1 	: 혼자 사는데 요리하는거 엄청 좋아한다대
P1 	: 나도 그렇게 살고 싶다니까 나보고 돈 많이 벌래
P0 	: 요리하는거 좋아하시나봐
P1 	: ...
P1 	: 잉잉
P1 	: 막
P1 	: 샌드위치 빵에 대해서만 쓴 책이 있는데 그걸 샀대
