# FILE DATA
ID : MDRW2100031929
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 기타 사회 생활 및 활동>군대

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: ㅎㅎ 저도 잘몰랐어요ㅎ 근데 군대랑 비슷하게 학교가 군기가있어서 똑같애요ㅎㅎ
P0 	: 그냥 군대안가고 돈벌었다 정도?
P1 	: 아 그럼 군대를 학교로 다닌거네요
P1 	: 기숙사죠?
P0 	: 암요ㅎㅎㅎ
P0 	: 전원기숙사생활에ㅎ 매일 아침구보에ㅎ 옷은 칼쥬름해서 다녀야해요ㅎ
P0 	: 인사도해야하구요 ㅡㅎㅎㅎ
P1 	: 아.. ㅋㅋ 그럼 그게 군대잖아요ㅋㅋ
P0 	: ㅎㅎㅎㅎㅎㅎㅎ
P0 	: 맞습니당ㅎ 군대죠뭐ㅎㅎ
P1 	: 이제 안부럽습니다ㅋㅋ
P1 	: ㅋㅋㅋ
P0 	: 4년내내 머리짧게짤랐아요ㅎ
P0 	: ㅎㅎㅎㅎㅎㅎ
P0 	: 여자도 머리 규정이있음요ㅎ
P1 	: 전 동생 면회 열번인가 갔어요
P0 	: 단발에 1학년때는 화장하면안되고
P0 	: 2학년때는 틴트정도?ㅎㅎ
P0 	: 오옹ㅎㅎ
P0 	: 면회열번이면 엄청많이가셨네요
P1 	: ㅋㅋ 전방이고 그때 총기난사사건있고 직후라
P0 	: ㅠㅠ
P0 	: 애고 하필그시기에
P0 	: 걱정많이되셨겟네여
P1 	: 짠해서 자주 가줬는데 고마워하지않더라고요
P1 	: 당연하게 생각하고ㅋㅋ
P0 	: ㅎㅎㅎㅎㅎㅎㅎ
P0 	: 가족들은 그렇다면서요?
P0 	: 여자친구오면 엄청 좋아하고?
P1 	: 그런건가요... ㅋㅋ속상
