# FILE DATA
ID : MDRW2100032359
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 진짜 공감해요 진짜 상우 말처럼 민영이한테 불편한티 내기보다 자기가 더 좋은 데이트 해주면 좋을텐데....
P1 	: 민영이도 예고만 봐서는 좀 흔들리지 않을까 싶어요 스트레스 받는다니까 나는? 이러는거 보고 할말을 잃었네요,,
P0 	: 그러니까요 민영이가 헤어짐을 후회한 사람이라고했는데!! 왜 그걸 잊고 ㅠㅠㅠ
P0 	: 맞아요! 솔직히 예고보고 좀 주휘가 구질구질해보였어요.. 웃으면서 그러는데
P0 	: 초반엔 민영이가 이해안됐는데 주휘때문에 이해가가기 시작했어요
P1 	: 갑자기 금요일꺼 보고 여론이 바뀐 이유를 알겠더라구요
P1 	: 자기혼자 그랬으면 모르겠는데 입주자 모두가 불편해하고 한마디씩 하게 만드는게 너무한것같아요,,,
P1 	: 그리고 민재랑 보현이 이용하는 것도 싫었어요ㅠㅠ
P0 	: 맞아요 민재랑 보현이 이용하는거 진짜 너무해요 민재랑 보현이가 인터뷰에서 한마디씩 한 것도 물론 웃으면서 했지만 화났을꺼에요
P0 	: 그리고 전에 주휘랑 보현이 데이트때 주휘 태도가 너무 별로였어서 좀 그랬어요
P1 	: 맞아요 마음에 없는거 이용해서 데이트 반토막내고... 너무 이기적인 것 같아요...
P1 	: 와 보현이랑 데이트... 진짜 레전드죠
P1 	: 그래도 한번 알아가고싶어서 시간내고 기회내서 데이트 하는건데 일부러 전략적으로 선택한 줄 알고 그렇게 말하는게 너무 답답하고 너무했어요
P0 	: 사람 마음가지고 장난치는거 진짜 별로인데 주휘가 다 보여주는 것 같아요 이런저런모습으로
P0 	: 맞아요 그때 너무 선을 그어도 무례하게 그어서 보는 사람도 뻘쭘하더라구요 ㅠㅠ
P1 	: 맞아요! 민영이가 오해안하게 하려고 데이트 신청한 사람들한테 다 말하잖아요 나는 옛사랑 찾으러 왔다고...
P1 	: 완전 철벽ㅜㅜ 코코랑 술마실때 코코가 했던 얘기도 완전 맞말 대잔치였다고 생각해요
P1 	: 좋아하는 마음을 막지만 말아달라고... 자기 마음이 어떻든 자길 좋아하는 사람 마음도 존중해줘야죠ㅠㅠ
P0 	: 맞아요 그럴 수는 있다고는 하는데 태도가 자신을 선택한 사람에겐 예의가 아니라고 생각되었어요ㅠㅠ
P0 	: 맞아요!! 코코가 말할때 너무 공감됐어요 그때 그렇게 좋은 말을 해줬는데 알아듣질 못하고...ㅠㅠㅠ
P0 	: 그리고 그날 방에 들어온거잖아요 아무리 술에 취했다 할지라도 ㅠㅠ
P1 	: 그러니까요 무슨 말인지 알겠다면서 정작 그 뒤에 행동은.... 너무 말과 행동이 안맞았던 것 같아요
P1 	: 맞아요 왜 하필 그런 말을 다 듣고 코코가 자기 좋아한다는거 다 안 그 날에 대체 왜.. 술이 웬수네요
P1 	: 아무리 술먹었다 해도 여자방에 그것도 룸메랑 사는 방에 그렇게 들어가는것부터 이마짚..
P0 	: 맞아여 진짜 완전 표정이 뚱해가지구..
P0 	: 코코 정말 보살이에요.. 있던 호감도 싹 사라지고 말하기도 싫을 것 같은데
P0 	: 그니까요 밤늦은 시간에 그렇게 들어가는건 진짜 휴 ㅠㅠㅠ 같이있는 민영이도 별로였어요
P1 	: 그러니까요 제주도에서 선물..?도 보낸 것도 코코인 것 같다고 생각하는데 보살 그자체..
P1 	: 그니깐요 민영이도 왜 룸메 자고있는 방에 들어간걸까요 정말ㅠㅠㅠㅠㅠ
P1 	: 궁예로는 카메라 없는 화장실 둘이 들어가서 이야기 했다고 하던데 양말도 그렇고,,
P0 	: 그니까요 ㅠㅠ 코코가 행복했음 좋겠어요
P0 	: 맞아요 편집되어서 잘은 모르지만 그런 궁예가 있더라구요 방에 들어온 것보다 화장실로 들어가는게 정말 최악이였어요
P1 	: 카메라 없는 사각지대를 이용하는거 자체가 너무 좀 괘씸하달까ㅠㅠㅠ 그러면 안되죠ㅜㅜ
P1 	: 아 그리고 정권이가 준 인형 일부러 떨어뜨린 것도...ㅎ
P0 	: 맞아요 진짜 제작진도 오죽했으면 그걸 내보냈나 싶고
P0 	: 아.. 그것도 정말 별로였어요
P0 	: 갈수록 주휘의 바닥을 보는 것 같아 속상하네요 ㅠㅠ
P1 	: 저두요ㅠㅠㅠ 진짜 패널들도 할많하않인게 너무 보이더라구요
P1 	: 보현이랑 혜임이가 방 앞에 왔을때도,,,,,
P0 	: 맞아요 다른 심한말은 못하고 순화하는데 아휴 ㅠㅠ
P0 	: 다른 여출연자들도 엄청 놀란 것 같더라구요
	  근데 양말보여주고 어쩌라는건지.. ㅠㅠ
P1 	: 아 맞아요 대체 양말은 무슨 의도로 보여준건지.....ㅋㅋㅋ
P1 	: 보현 혜임도 깜짝놀랐던데 진심으로 어이없었어요..
