# FILE DATA
ID : MDRW2100008698
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 예쁘더라고요 하나 갖고싶긴한데 고가라서
P1 	: 고장내면 어쩌나 덜컥 겁도나요
P0 	: 아 맞아요 ㅠㅠ
P0 	: 근데 진짜 이뻐서 폰바꿀때 함 살까.. 고민중이에요
P0 	: 체지방량 잴 수 있는 것도 너무 혹하고..
P1 	: 저는 갑자기 이름이 기억 안나는데
P1 	: 무선이어폰
P1 	: 갤럭시꺼도 사고싶더라고요
P1 	: 콩나물말고 강낭콩
P0 	: 버즈요?
P0 	: 저는 버즈 플러스쓰는데
P0 	: 좋더라고요
P0 	: 근데 버즈 프로는 가끔 귀에염증 생긴다는 말있어서 그건 피하는개 좋겠더라고요
P1 	: 아 정말요? 전 싼거 삼만원대 무선이어폰  쓰는데
P1 	: 비싼거 써보고싶더라고요
P1 	: 뭔가 귀가 덜아프다해서요
P0 	: 확실히 좋긴해요
P0 	: 콩나물이 잘맞는사람도 있고 강낭콩이 잘맞는 사람도있고
P0 	: 저는 콩나물 너무 귀가 아팠어요 ㅠㅠ
P1 	: 근데 잃어버릴거 겁도 나요
P1 	: ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 맞이들 잃어버리죠
P1 	: 특히 한쪽만 잃어버린다면 재앙
P0 	: 저도 간당간당히 찾아서 쓰고있어요
P0 	: 가끔 귀에서 캡만 남기고 사라지고
P1 	: 전 엄마 선물로 사드리고 싶기도해요
P0 	: 오 완전 효자시네요
P0 	: 당근에서는 되게 싸게올라오던데!
P0 	: 신상 나올때마다 싸게 올라오더라고요
P1 	: 요새 그립톡사드리기 제로페이 깔아드리기 백신 예약해두니기 뭐 이런거 해드리는게 효도래요
P0 	: 완전 효도죠
P0 	: 저는.. 다 알아서 하셔서 제가 해드릴게 없네요 ㅋㅋ ㅠㅠ
P1 	: 저도 알아서하시는건 하시는데 60대 되시면서 글읽는게 귀찮다고 ㅋㅋ
