# FILE DATA
ID : MDRW2100013061
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 이번에 배우도 난리났잖아
P0 	: 누구?
P0 	: 요즘소식잘모름
P1 	: 푸른 거탑에 나온 배우인데
P1 	: 1회차에 극 본 사람이 불호 후기를 남긴거야
P0 	: 아
P0 	: 응응
P1 	: 노래가 부족 한 것 같다고
P0 	: 푸른거탑그배우가?
P1 	: ㅇㅇ 그 배우의 실력이 안좋다고
P1 	: 불안정하다고
P0 	: 아 ㅇㅋㅇㅋ 이해함
P1 	: 그랬더니 지 인스타에 1회차라서 컨디션이 안오른거다 그리고 어차피 시사회라 반값으로 오지 않았느냐 그리고 뮤지콜 전공 아니고 연극 전공이라 가창력 운운하면 안된다 게다가 김춘수 김선미 즉 컴퍼니 측에서 자꾸 별로라고 하는데 니들
P0 	: 뭐하는사람임
P0 	: 비판도받아들일줄알아야지
P0 	: 뮤지컬하는데가창력이중요하지
P0 	: 전공이무슨상관임
P1 	: 그니까 아니 조승우 홍광호 박은태도 실수하면 불호 후기 올라오고
P1 	: 심지어 박은태 경영학과 출신임
P1 	: 맞나
P1 	: 그럼
P0 	: 이미
P0 	: 뮤지컬들어갔는데
P0 	: 전공운운하면안되지
P0 	: 비판들으면
P0 	: 고치던가노력하면되는거지
P1 	: 그니까
P0 	: 그러면
P0 	: 그냥드라마나하지
P0 	: 뮤지컬을왜함
