# FILE DATA
ID : MDRW2100047505
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 다이어트 넘힘듬
P0 	: ㅋㅋ 습관이기기 힘듬
P1 	: 배고파ㅜ
P0 	: 미투
P0 	: 약은먹는가
P1 	: 그리고 배고프니 짜증나
P0 	: ㅋㅋㅋ
P0 	: 저런
P1 	: 그동안 햄버거랑
P1 	: 달달한 음료 많이 마셨음
P0 	: 그건 안돼ㅜㅜㅡㅜ
P1 	: 휘핑크림 올라간것들
P1 	: 나운동 하루 이만보씩걸음
P1 	: 근데 매일 햄버거먹고
P1 	: 그런거 먹었더니 더 살찜
P0 	: 걸으니까
P0 	: 그정도 유지한거아닐까
P1 	: 응 그리고 늘 피곤했음
P1 	: 피부도 뭐 나고
P0 	: ㅜㅜ 밥묵지
P0 	: 어쩔수없당 이제부터잘하문댐
P1 	: 아 건강도 나빠짐 헌혈튕기고
P1 	: 그렇게 살찌게 먹었는데
P1 	: 그래 그 음식들에 철분이 있지는 않았을듯
P1 	: 나는 밥 싫음? 돈주고 쌀사먹는건 되게 아까움 ㅋㅋ 이유없이 ㅋㅋㅋ뭔가 극단적 밀가루파 빵순이
P0 	: 오잉?
P0 	: 밥맛있다궁
P0 	: ㅋㅋㅋㅋㅋㅋ난 탄수화물중독인데 완전 밥조아
P1 	: 나도 탄수화물 중독이지만 밥은싫음
P1 	: 빵좋아
