# FILE DATA
ID : MDRW2100011481
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: 아그래? 지니어스는?
P0 	: 지니어스도 봤지!
P0 	: 중간에 못본것도있긴하겠지만
P0 	: 크라임씬은 정종연 아니지?
P1 	: 응 아니얌
P1 	: 어제 대탈출 폐병원 봤어?
P0 	: 응 어제봤어 
	  좀비 한번 보고나서 보니까 안 무섭더라ㅋㅋ
P1 	: 그치ㅋㅋ 김호들 원래 본명 뭐였지?ㅋㅋㅋㅋㅋ
P1 	: 도망가는거 짱웃김ㅋㅋ
P0 	: 김동현!ㅋㅋㅋ그래서 김호들된거였구나
	  찰떡같다ㅋㅋ
P1 	: 그치ㅋㅋ 순발력좋은 겁보라 웃김ㅠㅠㅋㅋ
P0 	: 아니 거기 좀비감옥들어가는 입구에서 뒤로 넘어진거 너무 웃겨ㅋㅋ
P1 	: 뒤로도 넘어졌었나? 아니 사족보행 짱 잘해 네발로 뛰어도되겠음ㅋㅋ
P0 	: 그니까ㅋㅋㅋ그 문열어서 시체나왔을때
P0 	: 장난아니더라ㅋㅋ
P1 	: 너 이제 진짜 잘보는구나ㅋㅋㅋ
P1 	: 귀신도 도전가능하겠어?
P0 	: 아니야 아직 눈가리고봐ㅋㅋㅋ
P0 	: 그 경고문구 나올때 눈가릴 준비한다구ㅋㅋ
P0 	: 귀신이 분장 더 무섭니?ㅠ
P1 	: ㅋㅋㅋ 아맞아 경고문구나와서 좀 나아ㅋㅋ
P1 	: 근데 이건 귀신도 갑툭튀 이런건 아니라 난 괜찮더라구?
P0 	: 갑툭튀아니면 괜찮을거같긴도하고ㅋㅋ
P0 	: 분장 너무 세지만 않으면 되는데
P0 	: 귀신은 주말 대낮에 봐야겠군ㅋㅋ
P1 	: ㅋㅋ 그래 또 낮에 보면 괜찮지
	  밤에 보면 무서우ㅗ
