# FILE DATA
ID : MDRW2100027317
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이상형이 있으신가요?
P1 	: 저는 조신한 남자요 ㅎ
P0 	: 조신한 남자.. 저도 좋아요 ㅋㅋ
P0 	: 전 대화가 통하는 남자가 좋은데 사람대사람으로 동등하게 대화가 되는 남자요 ㅋㅋㅋㅋ
P1 	: 그쵸 말 잘듣는 남자 ㅎ
P1 	: 공감도 잘해주면 좋더라고요
P0 	: 맞아요 .. 내가 문제인건지 제 상대가 문제인건지 대화를 재밌게 해본 상대가 없네요  ㅡㅡ
P0 	: 잘생긴사람이 공감도 높으면 금상첨화 일텐데 ㅋㅋㅋ 일상에서 그런 인물조차도 못봤어요 
P1 	: ㅋㅋㅋㅋ그거 미디어속에나 있잖아요ㅋㅋㅋ현실엔..본적이없네요
P0 	: 네 ㅋㅋㅋ 미디어에도 가뭄에 콩나듯이 있는것 ㅋㅋㅋㅋㄱ
P0 	: 이런 남자만나고 싶다고 하면 없다고 해서 ㅋㅋㅋㅋ 기대가 없어용
P0 	: 그래서 사람대사람으로 대화가 되는 남자를 만나고 싶다는데 이마저도 없는거 같아용
P1 	: 진짜 그냥 정상남 만나는것도 어려운
P1 	: 미디어에서 비춰지는건..
P1 	: 그나마 누가 제일 괜찮더라..
P1 	: 기억도 안나네요ㅠ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 동의합니다ㅠㅠ
P0 	: 그럼 자발적 비혼주의 이신가요?
P0 	: 저도 그런데 눈에 차지 않는데 우선 만나보라고 하면 답답해요..ㅜ
P1 	: 네 ㅎ 비혼이에요
P1 	: 그냥 혼자 지내는것도 너무 벅차서 누굴만나고 그러진 못할거같아옹
P0 	: 아 그심정 알아요.. 전.. 누굴 만나는것도 귀찮아요.. 새로 사람을 알아가는것에 힘을 쏟고 싶지않달까..ㅋㅋㅋㅋㅋ
P1 	: 맞아요 ㅎ 그럴 기력도 없어요 진짜
P1 	: 집오면 그냥 널부러져있는게 다라
P0 	: 맞아요 ㅋㅋㅋ 얼른 집에 가고싶고 눕고 쉽고 ㅋㅋ
P0 	: 아..
P0 	: 제가 한 소개팅중에 진짜 별로였던 소개팅상대가 있는데요 첫만남에서 결혼할 여자는 자길 잘 챙겨주고 보살펴주는 다정한 여자분이면 좋겠다고 하셔서
P0 	: 기겁한적이 있어요..
P1 	: ....왓;;; 첫만남에서 그딴소릴하다니
P1 	: 기겁하실만 했겠어요
P0 	: 자기는 잘 덤벙되고 부모님이 다 챙겨줘서 잘모른다나..ㅡㅡ
P1 	: 저는... 지 자랑만 오지게 하는 놈이었는데 으으
P1 	: 덤벙..참나 어이가 없네요ㅋㅋ
P0 	: 물론 상대가 제가 싫어서 어깃장 놓은거일수도 있어요
P0 	: 와.. 완전싫어요
P0 	: 그래서 저도 상대방이 절 잘챙겨 주는 분이면 좋겟다고 했죠
P1 	: 아 그런거여도 똥매너라 별로네요
P1 	: 잘하셨네요 ㅎ
P0 	: 그니까요.. 도대체 무슨 생각인지ㅋㅋㅋㅋㄱ
P1 	: 저는 주선자한테 뭐라했었는ㄷㅔ ㅎ 날 뭘로보고 저런놈을 소개시켰냐고
P0 	: 잘하셨어요.. 함부로 아무나 소개시켜주지 않게해야해요
P0 	: 정말 ㅡㅡ
