# FILE DATA
ID : MDRW2100027568
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 강원
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 3회 이상

P0 	: 나요즘 강제 다이어트 쥰
P1 	: 약간 허름한듯 깔끔한 집에서 먹고싶다
P1 	: 왜? 다이어트?
P0 	: 놉
P0 	: 아토피
P0 	: 라면 오지게 먹었더니
P0 	: 폭팔했네요
P0 	: 피부가 나아지는 것처럼 보이다가도 망
P1 	: 아하
P1 	: 근데 나도 기숙사랑 자취할때 몸 가려웠었는데
P1 	: 그런 영향이었나
P1 	: 은근 피부관련 무던해서
P0 	: ㅇㅇ 구럴 수도
P1 	: 나는 바디워시때문인줄
P0 	: 라면 진짜 살 잘찌는 줄
P1 	: 그래서 그 이후부터 비누만씀
P0 	: 잘쪄
P0 	: 나 한 보름 먹으니깐
P0 	: 배 나오더라?
P0 	: ㄷㄷㄷㄷㄷ
P1 	: 나는 늘 배가나와있어서 그걸로는 못느끼고
P0 	: 왜 라면만 먹으면 살찐다고 하는지 알거 같음
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아놬ㅋㅋㅋㅋ
P1 	: 허벅지쪽 가려울때 살쩠구나 느낌
P1 	: 튼살각 알아?
P0 	: 아 래알?
P0 	: 나는 살이 게쏙 유지도는 스탈
P0 	: 계속 53이더라
P1 	: 예쓰...허벅지 종아리 가려우면 튼살오는겨
P1 	: 몸무게?
P0 	: ㅇㅇ
P1 	: 언제 53됐어
P0 	: 거기서 이제 지방과 근육이 사우는 거임
P0 	: 싸우는거
P0 	: ?
P0 	: 늘 53인데??
P1 	: 아?ㅋㅋㅋㅋ아니 대학교때도?
P0 	: ㄹㄹ
P0 	: ㅇㅇ
P0 	: 늘 53~
P1 	: 누가봐도 언니가 더 말랐는데
P0 	: 살빠지면 52 ㅎ
P1 	: 나는 왜 이따구지
P0 	: ㅋㅋㅋㅋㅋㅋ 나는 하체발달
P1 	: 나는 진짜 지방 그자체인가봐
P0 	: ㅋㅋㅋㅋㅋ 너랑나랑 다를게 없다고
P0 	: 우리집에서 가져온  토마토 존맛
P0 	: 껍질이 얇아서 야들야들
P1 	: 직접 키우신거?
P0 	: ㅇㅇ
P0 	: 대관령 아래에서 키우신거
P1 	: 하 맛있겠다
P1 	: 언니 식단조절하는거면
P1 	: 양배추쌈ㄱㄱ
P0 	: 아 ㅋㅋㅋㅋ
P1 	: 생야채도 많이먹으면 안좋대
P0 	: 그거 개구찮
P0 	: 나 그거 양배추쌈 함
P1 	: 귀찮으면 전자렌지에 돌려도될걸?
P0 	: 걍 사각썰기해서
P0 	: 볶음밥에 같이 넣어서 볶볶
P1 	: 기름지잖어~~~
P1 	: 쪄야 건강
P0 	: 나 물에다가 볶볶
