# FILE DATA
ID : MDRW2100019956
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 거긴 진짜 가부장 심하겠어요
P0 	: 그르게요 군대가 가부장의 원흉이 되기도 하네요
P0 	: 남초 직군도 그런 식의 문화가 심한거같고
P0 	: 저는 요새 남자 못잃는 여자들 보면 마음이 복잡헙니다
P1 	: 맞아요 특히 남친한테 의지 많이 하는 사람들보면
P1 	: 더 그렇더라구요
P0 	: 남친 없는 시기를 못견뎌서
P0 	: 계속 남친 사귀거나
P0 	: 나는 남자 싫긴 한데 유니콘 만나고싶다 이런..
P1 	: 맞아요
P1 	: 굳이 따질것 없지만
P1 	: 전자의 경우가 더 심각하더라구요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ막상막하지만 전자가 심하다
P1 	: 남친외에 딱 고립되기 쉬워서
P0 	: 맞는말씀이십니다
P0 	: 맞아요 남 친없으면 아무도없어서 계속사귀게되고
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 외로운거 못견뎌서 그렇기도 하더라구요
P1 	: 친구 있는데도 외롭다고 그러는데
P1 	: 그럴땐 친구인 나는? 이런 생각도 들구요
P1 	: 뭐 그렇다고 남친처럼 친구랑 지낼수도없어서
P1 	: 그런가보다 하고 지내고있어요
P0 	: 맞아요 ㅋㅋㅋㅋ 24시간 연락해야할 사람이 있어야 안외로운거면
P0 	: 본질적으로 외로운사람인거같아요
P1 	: 맞아요
P1 	: 그런 사람이 연애를 쉽게 접하긴하죠
P1 	: 차라리 뭐 행복해보이기라도 하면 다행인데
P1 	: 싸우면서도 못헤어지는 게 제일 힘든것같아요
P1 	: 그런식으로 발목잡히는 것 같아서요
P0 	: 비극적이네요
P0 	: 약간 사회적 지지가 모자란 사람들이 연애에 빠지는 것 같아요
P1 	: 맞아요
P1 	: 좀 부족한걸 채워넣으려고 하다보니
P1 	: 그걸 연애로 하나봐요
P1 	: 사실 여혐을 떠나서 전 연애가 그렇게 필요하지않는 사람이거든요
P1 	: 그래서 좀 궁금하긴해요 왜 하는지
P0 	: 오 저두요 저두요
P1 	: ㅋㅋㅋ
P0 	: 시간 감정 돈 다 저한테 쓰고싶어요 ㅋㅋㅋㅋ
P1 	: 맞아요
P1 	: 자신이 제일이라ㅋㅋㅋ
P0 	: 나를 향한 확고한 지지? 이런걸 바라는것같아요
P1 	: 아 뭔지 알겠네요
P1 	: 인간은 다 저런면을 원하긴하죠
P1 	: 그중 더 원해서 적극적으로 움직이는건가봐요
