# FILE DATA
ID : MDRW2100014408
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 먹는거!
P0 	: 저 지금 족발에 막걸리 먹으러 갑니다룽..
P1 	: 헉
P1 	: 완전부럽다
P1 	: 제거도 두점만 싸와주세요
P0 	: 피자면 모르겠는데 제 최애 음식이라 저에게 양보해주세요
P0 	: ㅎㅎ
P1 	: 족발엔 근데 소주 아닌가요?
P0 	: 네?!?!?!?!
P0 	: 아닌데용
P0 	: 완전 막걸리져
P1 	: 쏘주에 족발이 진린데
P1 	: 족발 한점에 쏘주 한잔
P0 	: 깔쌈하게 쏘주 막걸리 두개 다 먹고 왓슴미당
P1 	: 쏘주가 더 맛있죠?
P0 	: 아뇨? 막걸리너무맛있어서박수쳤는뎅^^;
P1 	: 쏘주를 먼저 마셨나요?
P0 	: 잉
P0 	: 막걸리!!!
P0 	: 막걸리죠
P1 	: 쏘주였다면 안걸렸을걸요
P0 	: 와
P0 	: 실례지만 차단 눌러도 괜찮을까요?^^*
P1 	: 미안합니다...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 주량쎄세요?
P1 	: 저희...동년배는..이런거 좋아하는데...
P1 	: 소주는 한병정도 먹어요
P0 	: 실례지만 춘추가 어떻게되시는지
P1 	: 아직 20대올시다
P0 	: 4달뒤면 30대신 29살이시군앙
P1 	: 아직 멀었읍니다... 저희 동년배들 아직 학교 다닙읍니다...
P0 	: 무슨 학교요? 대학원이져
P1 	: 대학교입니다
P1 	: 대학원은 학교가 아니라 구치소입니다...
P0 	: 엇 저도 대학교 ㅡ^*^
