# FILE DATA
ID : MDRW2100016840
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 아침먹고땡
P1 	: 아침 먹고 땡 집을 나서려는데
P1 	: 중독성 있다 이 노래
P1 	: 언니 투피엠 컴백한 거 봤나??
P1 	: 안 봤제??
P0 	: 투피엠  안봤다
P0 	: ㅋㅈㅋㅋㅋ
P1 	: 어후
P1 	: 준호
P1 	: 우리 집
P1 	: 유튜브로 좀 찾아봐요
P0 	: 내 음악연도는2009년에서 멈췄다
P1 	: 으휴
P1 	: 삶의 질을 좀 높여 봅시다
P1 	: 눈 호강이라도 해야지
P0 	: 아;;난 차은우좋다
P1 	: 차은우 잘생겼지
P1 	: 너무 잘생겨서 내 스타일은 아니지만
P1 	: 쌍꺼풀이 너무 짙어서 눈이 너무 맑음
P0 	: 너무잘생김ㅋㅋㅋ
P0 	: 좋아좋아
P0 	: 잘생긴건 옳은거다
P1 	: 그렇지 옳지
P1 	: 나는 김수현
P1 	: 박보검
P1 	: 김수현 박보검 과는 안 맞지만 그래도 류준열
P0 	: 그래ㅋ 눈호강ㅋㅋ
P0 	: 저녁에도 달려야지ㅋㅋ
P1 	: 슬의는 넷플로...
P1 	: 늘 본방은 볼수가 없지요
P0 	: 난 지긍보고있다
P0 	: ㅋㅋ
P1 	: 우와 언니 부럽네
P1 	: 난 이제 불 끕니다 ㅠ
P0 	: 오냐냐
P1 	: 잘 봤습니까??
P1 	: 나도 슬의 뒷부분만 봤음
P1 	: 내일 넷플로 다시 봐야지
P1 	: 이번에 롹 뭔데
P0 	: ㅋㅋ 뒷부분ㅋㅋ
P0 	: 슬의생 잼나다ㅋㅋ
P0 	: 저런의사들없겠지
P1 	: 아마도
P1 	: 얼 일부터 비현실적인
P0 	: 그래ㅡㅡ 닌일하나
P1 	: 옹 일하러 왔쥬
P1 	: 시작핬슈
P1 	: 출근했는교??
P0 	: 쉰다
P0 	: 휴무
P0 	: 집이좋네
P1 	: 오 휴무
P1 	: 완전 부러운데
P1 	: 넷플 봐요
P0 	: 넷플없다ㅋㅋ
