# FILE DATA
ID : MDRW2100046907
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20211006
topic : 일상 트렌드>틱톡 댄스 챌린지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  가족>형제자매
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 틱톡댄스 챌린지 해 봤어?
P0 	: 요즘은 뭐가 핫하지?
P0 	: 역시 스우파 헤이마마인가
P1 	: 스우파 재미있어?
P1 	: 요새 다들 틱톡하기는 하더라
P0 	: 스우파 안보지... 근데 유튜브 쇼츠?에도 틱톡 그런건 많이 뜨더라구
P0 	: 헤이마마는 진짜 많이봤음.
P0 	: 틱톡이 이만큼 커졌다는게 진짜 신기하지...
P0 	: 바인도 비슷했는데 망했잖어
P1 	: 그러게
P1 	: 틱톡 개인정보 이슈도 있었는데
P1 	: 다들 틱톡 엄청 하더라
P0 	: 그치
P0 	: 연예인들도 꽤나하는거같더라구
P0 	: 현아랑 이던? 둘이하는거도 올라왔던거같고...
P1 	: ㅇㅇ
P0 	: 뭐 걔들만 하는것도 아니고
P1 	: 가성비가 좋은느낌?
P1 	: 유튜브보다 영상은 훨씬 짧은데
P1 	: 비슷한 효과를 보니까
P0 	: 아 맞네...
P0 	: 어쨌든 이용자 많고 그런것도 영향을 끼치겠굼
P1 	: ㅇㅇ 그게 필수기는 하지
P0 	: 요즘은 이런 플랫폼들도 워낙 많아지긴 했는데
P0 	: 어쨌든 큰 곳이 더더욱 커지는건 어쩔수없지만 넘 끔찍한듯--
P0 	: 만든곳이 중국이라 더더욱...
P0 	: 미국이랑은 이제 분리됐댔나?
P1 	: 그랬나? 나도 그건 몰랐네
P0 	: 엉 아닌가?
P0 	: 미국에서 틱톡에 이의를 제기했었던듯?
P1 	: 미국에서 이의제기한거는 아는데
P1 	: 분리된다는 얘기가 있었구나
P0 	: 아 걍 차단한다고 했다가
P0 	: 미중관계 한창 나쁠때말야
P0 	: 이제 걍 풀린듯?
P0 	: 그 차단 해제 조건으로
P0 	: 미국기업의 틱톡 인수가 있었나봐
P0 	: 그게 어케됐지?
P1 	: 옛날에 차단했던거 풀리고 그냥 인수는 없어진듯
P0 	: 오라클에서 인수했다는 말도 있고., 뭔지 모르겠음--
P0 	: 아 인수한댔다가
P0 	: 바이든 취임하고 안하기로 했나봄
P1 	: ㅇㅇ 그런가봐
P1 	: 옛날에 유튜브 보다가 틱톡 광고나오면 진짜 별로였는데
P0 	: 맞아... 사실 나는 아직도. 틱톡극혐
P0 	: 하지만 이미 숏폼콘텐츠에 중독되어버린 나?!
P0 	: 이게 다 유튜브 숏츠 때문이다.
P1 	: 유튜브 숏츠는 재미있는거 많지
P0 	: 다들.. 틱톡을 많이들 하는구나...
P0 	: 참..
