# FILE DATA
ID : MDRW2100001862
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 베트남 가봤어요?
P0 	: 아뇨
P0 	: 제 동생이 가서 이야기는 해줬어요
P1 	: 아주 저렴하게 럭셔리 갔다올수 있어좋아요
P0 	: 동생은 베트남 음식이 잘 안 맞았대요
P0 	: 베트남 하니깐 쌀국수 생각나네요
P0 	: 쌀국수 맛있겠다
P1 	: 맛집 검색해서 가봤는데 괜찮았어요
P0 	: 현지 맛집은 다르겠죠?
P0 	: 물가가 싸서 좋겠더라구요
P0 	: 스위스나 북유럽 생각하면 천국
P1 	: 물가가 싸서 가는거 같아요
P0 	: 가깝기도 하구요
P1 	: 맞아요 비행기로 몇시간 안걸리니
P0 	: 베트남에 뭐 있더라
P0 	: 생각나는게 쌀국수네
P1 	: 콩커피
P0 	: 맞다 오토바이 많지 않아요?
P0 	: 커피도 유명하던데
P1 	: 엄청 많아요 거기다 무질서
P0 	: 동생이 사온적 있어요 기억난다
P0 	: 무질서예요?
P0 	: 완전 시장통이겠다
P1 	: 차보다 더 우선요 저러다 사고 날까봐 놀랬어요
P0 	: 교통이 엉망진창이구만
P0 	: 베트남은 베트남 사람이랑 전화로 일해본 적만 있어서
P1 	: 네 신호도 안지키고
P0 	: 근데 한번은 가고싶네요
P1 	: 우기때말고 가세요
P0 	: 우기때 갔나요?
P1 	: 비슷한 시기에 가서 과일도 맛없고 그랬어요
P0 	: 베트남도 동남아라서 과일 괜찮을텐데 영 시원찮았나봐요
P1 	: 당도가 떨어지더라고요
