# FILE DATA
ID : MDRW2100006559
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 사라지진않을 것 같아
P1 	: 어쨌든 레벨 낮은 친구들을 원하면 이제 잘 안하는 게임이라
P1 	: 탈퇴했다 가입하면 돼
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 오 친절하네 근데
P0 	: 사기아냐?
P1 	: 사기까지는 아니겠지 뭐ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 나도 뭐 그닥 잘하지 않아서 이제
P0 	: 게임을 어 막 그짓말로 하고 그래도 되는거야?!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ반성해??
P1 	: 손 들어??
P0 	: 어 !
P0 	: ㅋㅋㅋ안할거면서 하여튼 옵치 안망하길 기도해야겠다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ나중에 앞에서 인증할게ㅋㅋㅋ
P1 	: 그래그래
P0 	: 그래도 옵치 아직 한 만원하나?
P0 	: 아근데 몹치 사도 할 컴터가 없네
P0 	: 바쁜건 둘째치구
P1 	: 이만원인데
P1 	: 추석이나 이럴 때 자주 할인하니까 만원대로 봐야지 뭐
P0 	: ㅋㅋㅋ아닝 세일하먄 만원 언저리 할거아냐 그래 맞자 그거 말이여
P1 	: 응응!! 이제 다 아네
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그정돈 기억하지 ㅎㅎ
P0 	: 옵치 2는 안나오나보네?
P1 	: 좋아좋아
P1 	: 나왔는데 소리소문없이 사라졌을걸
P1 	: 아 아니구나
P1 	: 나도 한동안 관심없어서 몰랐는데 계속 연기됐네
P0 	: 아 글쿠만 !! 아주 신상 정보 고마워 ㅎㅎ
