# FILE DATA
ID : MDRW2100005251
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 스포츠 뭐좋아하세요?
P0 	: 올림픽 즐겨봤어요ㅎ
P0 	: 어릴때부터 올림픽은 날새며 보고했는데
P0 	: 올림픽 보셨어요?
P1 	: 잠깐 잠깐봤아요ㅎ
P1 	: 원래 올림픽이나 월드컵 이런거 많이 챙겨보는 편인데 이번올림픽은 안보게되더라구요ㅎ
P1 	: 어떤 종목을 응원했어요?
P0 	: 주말엔 거의다챙겨보고 ㅎ 회사서는 양궁 몰래틀고보고ㅎ
P0 	: 양궁이 최고인듯요
P1 	: 맞아요ㅎㅎ 양궁이 최고였어요ㅎ
P1 	: 여자배구는 보셨어요?
P0 	: 심장떨릴거같은데 다들강심장인가봐요
P0 	: 배구도 봤어요
P0 	: 한일전 짜릿
P1 	: 맞아요ㅎㅎ 한일전 엄청 응원했네요ㅎ
P1 	: 양궁도 재밌었고ㅎ 다재밌었는데 아쉬운게 야구랑 축구ㅠ
P0 	: 저도 그래서 보다말았어요
P0 	: 주로 양궁 펜싱 유도 체조
P0 	: 다이빙도 보고 수영  이것저것 다보긴 했네요
P0 	: 야구축구만빼고
P1 	: 엄청 많이 보셨내요ㅎㅎ
P1 	: 와 그럴시간이 있으셨어요?
P1 	: 전 하이라이트만 봤던것같애요ㅎㅎ
P0 	: 저녁에하는것도 많아서 퇴근함 올림픽만 본거같아요
P1 	: 스포츠를 원래 좋아하신가보네여 ㅎ
P1 	: 여자가 좋아하기 쉽지않는데
P1 	: 경기 관람하시는것도 좋아하세요?
P0 	: 관람은 어릴때잠깐ㅋ
P0 	: 농구좋아했어요
P1 	: 농구 좋죠ㅎㅎ
P1 	: 전 나이가있어서ㅎ 이상민세대에요ㅎ 문경민하고ㅎㅎ
P0 	: 저도요ㅎ
P0 	: 전 김훈좋아했어요
P1 	: ㅎㅎ 생각나네요ㅎ
P1 	: 그때도 지금도 농구선수들은 어찌 키도크고 잘생겼을까요?
P1 	: 거기다 운동도 잘해ㅎ
P0 	: 그렇게요 펜싱선수들 이번에보니 다잘생겼더라구요
