# FILE DATA
ID : MDRW2100008877
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 가족이 있니?
P1 	: 탕여나지
P0 	: 누가제일좋아
P1 	: 가족구성이 어케 되니
P0 	: 엄마 언니 나
P0 	: 넌 누구랑 제일친해
P1 	: 왜?
P1 	: 개웃겨
P1 	: 남동ㅊ
P1 	: ^^
P0 	: 엥
P0 	: 나중에 누구랑 살고싶니
P1 	: 엄마랑 동생이랑은 친해
P1 	: 솔직히
P1 	: 혼저살고싶음
P1 	: 공용공간이 있는 동거정도는 괜찮은데
P0 	: 친구랑 사는것도?
P1 	: 각자 공간 있고 주방 화장실만 공유하는 방식은 괜찮음
P1 	: 근데 웬만하면
P1 	: 가까이 살고 혼자 사는게 낫지
P0 	: 그건맞아
P0 	: 그치만 집안일혼자 가능?
P1 	: 혼자 사는 정도면 가능이지
P1 	: 나 혼자 산다면
P1 	: 애들이랑 돈모아서
P1 	: 로봇청소기 해줘
P1 	: ^^
P0 	: 노력해볼게
P0 	: 집안일 뭐가 제일싫어
P1 	: 설거지,,
P1 	: 그래서 돈 많이 벌어서
P1 	: 식세기 사야함
P1 	: 넌 뭐가 싫니
P0 	: 바닥청소
P0 	: 설거지는 그나마 뿌듯
P1 	: 설거지 너무 허리아픔
P1 	: 그 설거지할때 물 튀는거 방지해주는 가드 앎?
P0 	: 모름
P0 	: 난 고무장갑 작은것좀 나왔으면
P1 	: 고무장갑 s도 커?
P1 	: 자취 시작하면
P1 	: 물 튀김 방지 가드 사줘야지 그거 개좋음
P0 	: 난 건조기 사줘
P0 	: s짱 큼그래서 안끼고 함
P1 	: 네...?
P1 	: s가 크다고..?
P1 	: 건조기 넘비싸
