# FILE DATA
ID : MDRW2100030087
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경북
principal_residence : 경북
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 동물키워요?
P1 	: 아
P1 	: 키우고 싶긴한데
P1 	: 지금 사는 곳이
P1 	: 동물 금지라서;;
P1 	: 뭐 키우시나요?
P0 	: 저는 구피를 키웁니다 ㅋㅋ
P1 	: 오...
P1 	: 물고기 키울라면
P1 	: 뭐 나름대로 준비해야 되는거 많지 않나요
P0 	: 물 관리가 힘듭니다
P1 	: 네네 그렇게 들었어요
P0 	: 일이에요
P1 	: 솔직히 예전에는
P1 	: 그냥 관상용(?)이라고만
P1 	: 생각해서
P1 	: 진짜 손 안 가는 줄 알았는데
P1 	: 아니더라고요
P0 	: 케어가 힘들어요
P1 	: 막 보니까
P1 	: 산소라던가
P1 	: 수질이라던가
P1 	: 의외로 신경 쓸 게 많더라고요
P0 	: 사람보더 다 신경 쓰여요
P1 	: 그러고보니
P1 	: 구피는
P1 	: 사람 알아보나요?
P0 	: 아니여
