# FILE DATA
ID : MDRW2100018474
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아하 그래서
P1 	: 사서관련이겠군요
P0 	: 그래서 학과에서 실습 한번 근로로 한번 대구시청 인턴으로 한번
P0 	: 총 세번햇엇네요 ㅋㅋㅋ
P0 	: 넵! 공시도 사서직 공시 준비중이에요
P1 	: 이번에 제가 일한 근로지에
P1 	: 사서분이
P1 	: 아시는분일수도 있겠네요
P0 	: 오오오 대구에요??
P1 	: 대학만같다면
P1 	: 네네
P0 	: 대구는 별로 뽑지도 않는데
P0 	: ㅠㅠㅠㅠㅠㅠ
P0 	: 대구는 공무원 넘 적게뽑아요
P1 	: 근데 그분은 14학번이신데
P1 	: 졸업하자마자 취업하신거라고
P0 	: 전 &affiliation& 졸업햇어요!!
P0 	: 근데 저희 동기들은
P0 	: 사서직 하는 친구 별로 없어요
P1 	: 문헌정보면 사서로 빠지지않나요 대부분?
P0 	: 그래서 사서 된 동기들 소식 별로 못들어봤어요
P0 	: 근데 특이하게 제 동기들은
P0 	: 사서교사도 많이 하고 공기업도 많이가고
P0 	: 사서직은 오히려 적어요
P1 	: 이야기들어보면
P1 	: 확실히 사서직은
P1 	: 사람도 적게뽑는데
P1 	: 자리가 안생긴다 하더라구여
P0 	: 맞아요 ㅋㅋㅋㅋㅋㅋ
P0 	: 누군가가 퇴사하거나
P0 	: 도서관이 새로지어지거나
P0 	: 둘 중 하나가 잇어야해요 ㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋ
P1 	: 마침 제가 간 도서관이 생긴지 얼마안됬어서
P1 	: 사서분 두명계셨는데
P0 	: 근데 얘기듣기로는 전에 대명동에 미군부대잇던데 거기 새로 도서관 짓는다더라구요
P0 	: 거길 믿어봐야조 ㅋㅋㅋㅋ
P0 	: 엥 진짜요?? 혹시 어딘지 물어봐도 될까요??
P0 	: 대구에 신설도서관 얘기 첨들어봐요
P1 	: 2016년이면
P1 	: 옛날인가요
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 대구 사서직은 전혀 늘어나는거없엇는데ㅠ
P0 	: 아 ㅋㅋㅋㅋㅋ
P1 	: 근데
P1 	: 확실한건
P0 	: 그럼 사서직 티오랑은 상관없겟네욬ㅋㅋㅋㅋ
P1 	: 대구 서구청 맞은편에
P1 	: 도서관 하나 또 생기더라구여
P0 	: 헉 진짜요(
P0 	: ??
P0 	: 좋다좋다
P1 	: 설문조사까지했어서
