# FILE DATA
ID : MDRW2100015252
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 대전
principal_residence : 해외/기타
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 데이트하러 뮤지컬이나 연극보러가신적은 있으신가요?
P1 	: 네 저는 원래 런던에 살아서 뮤지컬 종종 봤어요!
P0 	: 오오 그러셨구나! 저도 뮤지컬 좋아하는데
P0 	: 미스사이공 웨스트엔드에서 한거 보셨나요??
P1 	: 아 아뇨 그거는 못 봤어요ㅜㅜ 재밌다는 얘기는 들었는데
P1 	: 재밌게 보신 뮤지컬 뭐 있으신가요?
P0 	: 전 직접 보러가진 못했는데 시카고 좋아해요
P0 	: 다른건 어떤거 보셨나요?!
P1 	: 오 시카고 노래도 넘 좋죠!ㅎㅎ
P1 	: 저는 오페라의 유령은 여러번 봤구 위키드도 정말 재밌게 봤어요ㅎㅎ
P1 	: 요즘 한국에서 헤드윅 하던데 넘 보고싶은데 지방살아서 쉽지 않네요ㅜㅜㅋㅋ
P0 	: 엇 저도 오페라의 유령이랑 위키드 다 너무 좋아해요ㅠㅠ
P0 	: 저도 지방살아서 헤드윅 조승우꺼 한번 보고싶은대
P0 	: ㄷ데
P0 	: 한번 갈까싶다가도 코로나 걸려서 내려오는거아닌가싶어서 참고있어요ㅜㅜ
P0 	: 어차피 다 매진...이더라구요
P1 	: ㅜㅜ 그쵸.. 조승우는 아이돌 콘서트보다 더 치열하다고 하니..ㅎ
P0 	: ㅠㅠㅠㅠ
P0 	: 마자요 이번에 하고 또 언제할지도 모르는데
P0 	: 이럴땐 지방사는게 서럽네요ㅋㅋㅠ
P1 	: 그러게요ㅜㅜ
P1 	: 이번 생에 조승우가 나오는 뮤지컬 볼 수 있을까요..ㅎ
P0 	: 진짜요ㅠㅠㅠ
P0 	: 조승우 유튭 클립맘봐도
P0 	: 만
P0 	: 연기 쩔어서 실제로 보고싶은데ㅠㅠ
P0 	: 전 홍광호 것도 보고싶어요 이번에 지킬한다던데
P1 	: 오 저는 지킬앤하이드 한번도 못 봐서 꼭 보고싶어요ㅜㅜ
P0 	: 그죠그죠 저도 한번도 못봐서 너무 보고싶어요ㅠ 이번 지킬은 일차 이차로 나뉘어서 올거라는 얘기가 있던데
P0 	: 이차에 조승우도 할거라는 얘기 나오더라구요 여기저기 눈팅해보니까 ㅋㅋ
P0 	: 진짜 서울만 살았어도
P0 	: 다 봤을텐데 아쉽ㅠ
P1 	: 그러게요! 지방에 사는게 서럽네요ㅜㅜ
