# FILE DATA
ID : MDRW2100023156
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아쉽겟네여ㅎ
P0 	: 아뇨 그때가 언제인데요 ㅋㅋ
P1 	: 그래도 아르바이트하면서 많이 연애하고 그러잖아요ㅎㅎ
P0 	: ㅎㅎ ㅎ그렁걸  못해봣네요 ㅋ
P1 	: 에고ㅠ 듣기만해도 엄청 고생하셨을듯ㅠ
P1 	: 대단하시다 정말
P1 	: 대학교 학자금 그럼 다 아아님이 내셨어요?
P0 	: 네네 근데 뭐 다닌기간은 오래이지도 않고
P0 	: 장학금 받아서
P0 	: 돈은 안냈어요
P1 	: 우왑ㅎ
P1 	: 대단하시다 정말
P0 	: 아뇨뇨뇨
P1 	: 진짜 고생하셨어요 정말 존경해요
P1 	: 아르바이트 저도 많이는 안해봤지만 남의돈 버는게 쉽지가 않잖아요
P0 	: 맞아요
P0 	: 쉽게 버는 돈으 없죠
P0 	: 앱테크만 봐도 ㅎㅎㅎ
P1 	: 맞아요ㅎㅎ 시간을 그만큼 투자해야 하니깐
P1 	: 엄청 힘들죠ㅎ
P1 	: 차라리 알바하는게 나은데ㅎㅎ
P0 	: 빙고 ㅎㄹ
P0 	: 책고르고 있는데  ㅋ 요즘은 어린이들도  경제가 빠르네요
P0 	: 책제목이 ㅋ
P0 	: 장난감말고 주식 사주세요  네요 ㅋㅋㅋ
P0 	: 경제 책 한번 사볼까 둘러보는데 ㅋㅋㅋ
P0 	: 어린이만도 못한거 같아서 급 슬픔 ㅋㅋ
P1 	: ㅎㅎㅎㅎㅎㅎㅎㄹ
P1 	: 이제끝났어요ㅠ 남자 두명ㅠ
P1 	: 그래도다행에요ㄹ
P1 	: 제가 예전에 이벤트했는데ㅎ 왜 우리 아이들은 경제공부를 안하냐?
P1 	: 이런걸로 장문의 글을 쓴 기억이있네요ㅎ
P1 	: 결국당첨ㅎㅎㅎㅎ
P0 	: ㅎㅎ 멋져요 ㅎㅎ
P0 	: ㅎㅎ 다행이네여 그나마 2명이라 ㅎㅎ
P0 	: 집에 이제 가샤야죠~
