# FILE DATA
ID : MDRW2100001951
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 단모음

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 반려동물 키우고 있나요?
P1 	: 반려견이 없어요
P0 	: 키워보신 적이나 키워보고 싶은 동물도 없나요?
P1 	: 주택에 살때 진돗개 키웠다가 아파트로이사오면서 지인께 보냈는데 그후로 마음아파 못 키우겠더라고요
P1 	: 정을 많이줬던 멍멍이였는데ㅠㅠ 족발보면 지금도 생각나네요
P0 	: 에고 자식 때어놓고 오는 마음이셨을 거 같아요..
	  저는 시골이라 개 세마리랑 고양이 두마리 마당에서 키우고 있어요.
P1 	: 그러시구나
P0 	: 닭도 있어서 닭알은 안 사먹어요^^
P1 	: 오호
P1 	: 달걀 비싼데 닭들에게 감사장을 수여해야겠어요ㅎ
P0 	: 맞아요. 암닭이 세마리 인데 아침마다 닭알 3개씩 득템해요~~
P1 	: 이렇게 많은 동물 키우시면 바쁘시겠네요
P1 	: 동물들 밥 챙겨주느라 시간도 걸리겠는걸요
P0 	: 저는 예뻐만 하고 관리는 다른 가족이 많이 하는 편이에요.
P1 	: ㅎㅎ 어느집이든  비슷한가 보네요 
	  저도 이뻐만 했었는데ㅎㅎ
P0 	: 아파트에서 작은 동물 키워 보신 적 있어요? 햄스터나 거북이 같은 애들이요.
P1 	: 윽 제가 쥐를 넘 싫어해요 거북이는 생각 안해봤고요ㅎ
P0 	: 아이들 어릴때 햄스터 키우자고 해서 햄스터 키워본 적 있는데 작고 귀엽더라구요. &name3&라고 이름도 지어주고 아이들이 좋아했는데 하늘 나라 가고나선 관리도 그렇고 안 키우게 되더라구요.
P1 	: 햄스터는 번식을 자주 한다고 하던데 그런가요?
P0 	: 한 마리만 키워서 번식은 안해봤어요~
	  몇달만에 하늘나라를 가버리기도 했구요.
P1 	: 에고, 햄스터  수명은어느정도 되나요
P0 	: 오래사는 거 같긴한데 울 집에 있던 햄스터는 입에 혹 같은 게 자라더라구요..
	  병에 걸려서 하늘로 보냈어요.
P1 	: 아팠구나ㅠㅠ
P1 	: 안타까워라
P0 	: 동물은 키우다 하늘로 보내고 나면 넘 마음 아픈거 같아요. 그런데도 또 키우게 되고 동물이 주는 교감이 좋아서 그런거 같아요.
P0 	: 동물 좋아하는 편이세요?
P0 	: 동물 털 알러지는 없으시죠?
P0 	: 제가 아는 분은 털 알러지 있는데 유기견이 데려와서 약 먹으면서 돌본다고 하더라구요ㅡ
