# FILE DATA
ID : MDRW2100001597
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 카카오톡
date : 20191110
topic : 기타/일상

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 남성
birthplace : 경남
principal_residence : 해외/기타
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 번개치고 으스스
P1 	: 비는?
P0 	: 한두방울씩
P1 	: 얼른 ㅎ
P1 	: 풀어주던지
P0 	: 응
P1 	: 여보
P1 	: 도시락에 다른 것도 싸갔어? 파프리카 갖은거
P0 	: 응~ 파프리카
P1 	: ㅠㅜ
P1 	: &name3& 계단에서 뒤로 넘어가서 머리 세게 쿵했어
P0 	: 으악
P1 	: 다행인건 높은데가 아니라 밑에 두칸 정도에서
P1 	: 일어나면서 뒤로 발라당..
P1 	: 식겁했네
P0 	: 에그
P0 	: ㅠㅜ
P1 	: 엄청 울고...
P1 	: 진짜 쾅 소리 났는데...
P1 	: 목 안꺾인게 다행.. ㅠ
P0 	: ㅠㅠㅠ
P1 	: 계단 더 조심해야할거 같애
P0 	: 어디서 1층에서?
P1 	: 아니 소파있는데
P0 	: 소파에 계단? 암튼
P0 	: 에구 ㅠ
P0 	: 여보도 놀랐지
P1 	: 중간에 의자 있자나
P1 	: 네모난거
P1 	: 나두 엄청 놀랬지
P1 	: 글구 안전문도 &name3&가 열어
P1 	: 펜스 다시 쳐야겠어
P1 	: 그리고 계단 오르내릴 때
P1 	: 바짝 붙어서 봐야지
P0 	: {emoji}
P1 	: 순식간에 뒤로 확 넘어가더라
P1 	: 끝에서 그랬으니 다행인데
P1 	: 위에서 그랬으면... ㅠㅠ
P1 	: 상상하기도 싫다
P0 	: 에구 ㅠ응
P1 	: &name3&도 놀래서 이번엔 많이 울고
P1 	: 하.. 너무 힘드네
P1 	: 액자도 떨어질 뻔 하고
P0 	: 하이구
P1 	: 응가 닦아야 하는데
P1 	: 한시간은 못닦인듯
P0 	: 응가 또 했구나
P0 	: ㅠ
P1 	: 허리가 넘 아파
P0 	: ㅠㅠㅠㅜ우리여보 ㅠㅜ
P1 	: ㅠㅜ
P1 	: 물도 없고
P1 	: 뜨러 내려 갈 수도 없고
P1 	: 짜증난다!!!!!
P0 	: 아 ㅠㅠㅠㅜ
P0 	: 집에 오자마자 수난이구나 ㅠ
P1 	: &name3&가 고집이 세졌어
P1 	: 떼도 부리고
P0 	: 응 그치
P0 	: {emoji}
P0 	: 여보 밥은 먹었니
P0 	: 김밥 넘 맛있었어
P0 	: 고마워 여보야
P1 	: &name3&랑 이제 밥 먹으려고
P0 	: 그래용
P0 	: 밥은 맛나게 먹장
P1 	: 밥도 힘겹게 먹이고 있어
P1 	: 오늘 똥데이인가봐
P1 	: 계속 쌈.. 질은 똥
P1 	: 진 똥은 물로도 힘들게 닦이네
P0 	: 헐 ㅠㅠ
P1 	: 똥 닦고 낮잠 자
P0 	: 에구 여보 고생이 많아 
P1 	: 밥먹어
P0 	: 응응 같이 못 먹었구나 ㅡ 맛나게 먹어요
P1 	: 응응
P1 	: 뭐 주문할거 있어?
P1 	: 쌀이랑 분유 살건데
P0 	: 응 생각나는 건 없어요
P1 	: 마실가
P1 	: 거
P1 	: 대량으로 사게
P0 	: ㅋㅋㅋ 쿠팡에서?
P1 	: 응
P1 	: 오랑지나 같은거
P0 	: 응응 
P0 	: 그래 어차피 살 거 사놓자 ㅋㅋㅋ 
P1 	: 그때그때 사는게 더 비싸
P1 	: 캔 하나에 863원이면 괜찬지?
P1 	: 마트킹은 900원이네
P0 	: 응 
P1 	: 여보
P1 	: 퇴근 안해?
P0 	: 아 카톡 잘못보냇ㅎ닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 다행히 나 자신한테ㅜ보냈군
P0 	: 퇴근했어요 아까
P1 	: 응
P1 	: 조심히 와
P1 	: 여보
P1 	: 오늘 카드값 나가는 날인데
P1 	: {share:photo}
P1 	: 내 통장에 62만원 있어
