# FILE DATA
ID : MDRW2100032519
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅋㄱㅋㄱㅋㄲㅋ응
P1 	: 그런건 아니고
P1 	: 핼로키티 회사에서 만든 십탁게임이야ㅎㅎ
P0 	: 십탁게임...
P0 	: 헬로키티회사...
P0 	: 귀엽겠는걸
P0 	: 십탁게임이뭐양
P1 	: 그 오타쿠게임!
P1 	: 미소녀들이랑 미소년들이 나와ㅎㅎ
P1 	: 동물귀랑 꼬리 달고
P1 	: 밴드해
P0 	: 헐ㄹ랭
P0 	: 궁금한걸
P0 	: 재밌었어?
P0 	: 아니면 캐릭터가 너취향이라한거야
P1 	: 이게 사람마다 다를거 같은데
P0 	: 옹
P1 	: 나는 재미는 없는데 캐가 취향이라 했어ㅋㅋ
P0 	: 어엌ㅋㅋㅋㅋㅋㅋ
P1 	: 그리고 노래도 좋아서ㅋㅋ
P0 	: 오오오옹
P0 	: 그쪽판에...
P0 	: 사람들많았닝..
P1 	: 적었는데
P1 	: 그래도 좋아서 몇달전에도 했긴한데
P1 	: 음...판이 별로여서 떠났달까...
P0 	: 흐엌ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 판이...별로였구나...ㅠㅠㅠㅠ
P1 	: 원래는 괜찮았는데 다른 판을 욕해서 떠난거라...
P1 	: 응...
P0 	: 헐랭
P0 	: 에브다
P0 	: ㅔ바다
P0 	: 흠
P0 	: 요즘은그럼
P0 	: 빠진게임장르는없엉??
P1 	: 그 프로세카라는 리겜!
P1 	: 리겜을 좋아해서
P1 	: 없으면 못살아ㅋㅋ
P0 	: 리겜은뭐야?!
P1 	: 그 리듬게임 줄임말!
P0 	: 옹이아아앙
P0 	: 프러세카는
P1 	: 리(듬)게(임)이라구~
P1 	: 응
P0 	: 그것도 얼굴이취향인거니
P0 	: 아니면재밌닝
P0 	: 왜냐면 나도 리듬게임좋아한다구~
P1 	: 그건 재밌어서ㅋㅋ
P1 	: 허걱!!&name1&씨도?
P0 	: 허거거걱ㅇㅇㅇ
P0 	: 나 그 아이돌들
P1 	: 응
P0 	: 노래로하는 리겜있자나
P0 	: sm이랑 빅히트
P0 	: 막그런
P1 	: 아아ㅋㅋㅋ
P0 	: 예아
P1 	: 나
P1 	: 해봐야지~~
P0 	: 그런리겜잘했는데 용량넘커서지워버렸어
P0 	: 오오오옹
P1 	: 앗ㅋㅋㄱㅋㅋㄱ쿠ㅠㅜㅠㅜ
P0 	: 아무튼 너가하는걸
P0 	: 나에게추천해도되는
P0 	: 그런개임이니
P1 	: 음...
P0 	: 옹
P1 	: 조금 많이 어려울수도 있어ㅠㅠ
P0 	: 허거거ㅓㄱ
P0 	: 어떤쪽에서?!
P1 	: 음...
P1 	: 내가 디엠으로 보내줄게!
P0 	: 오오옹고마웡
P1 	: 보냈다구><
P0 	: 고마웡
P0 	: 확인해볼겡
P1 	: 응응!!
P0 	: 헐랭
P0 	: 저게 기본 난이도야..?
P1 	: 아 이지는 많이 쉬워!
P0 	: 와...
P0 	: &name2&도 저렇게 할수있는편?
P1 	: 응
P1 	: 저 사람처럼 묘기는 못부리지만
P0 	: 큐큨큐ㅠㅠ큨큨
P0 	: 묘기큐큐큐ㅠ큐큨
P1 	: ㅋㅋㅋㅋㄱㅋ규ㅜㅠㅜㅠ
P0 	: 넘대단하다
