# FILE DATA
ID : MDRW2100041736
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 언니어늘 모먹었엉
P0 	: 나는 오늘 점심을 아주 건전하게 먹었엉
P0 	: 얼린 두부를 초고추장에 찍어먹고....
P0 	: 그리고.....
P1 	: 헐.....대 박 완 전 건 강 해
P1 	: 그리고...!?!?!?
P0 	: 콩나물 무침....
P0 	: 나 이렇게 건강하게 먹어도 되는걸까?
P1 	: 미쳤다... 엄청나... 마치 어른같아..
P1 	: 나는 새벽 4시~5시쯤 주전부리 잔뜩먹고 지금 더부룩해서
P1 	: 아무것고 먹지못했는데..... 어른답지못해
P0 	: 어른....어른.......
P0 	: 그 주전부리에 혹시
P0 	: 어제 받은 그 빵들도 있는거니?
P1 	: 엉... 그빵들포함.........
P1 	: 베스트는 초코마들렌이었어
P0 	: 하
P0 	: 정말 맛있었겠다
P0 	: 아니 나는 뭔가 케이크 뷔페
P1 	: 한면이 초콜렛으로 코팅이 된 것이... 아주고냥... ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 달달~ 했어.......
P0 	: 가고싶어
P1 	: 으으응 헐
P0 	: 와.....
P1 	: 언니 나 언니랑 오지힐 간 이후로 이상하게 케이크가 생각난다..?? 근데 막 평가보니까 막 별로라는 평도 많은거야??? 근데
P1 	: 나는 진짜 맛있었단말이지!?!?!?
P0 	: 헐 나도 맛있었는데
P0 	: 다들 약간
P1 	: 나랑 케이크 뷔페가자.. 하루정도 달콤해져도 좋아..
P0 	: 뭐 먹고나서
P0 	: 아주좋아
P0 	: 뭐 먹고나서 바로 오지힐 갔나?
P0 	: 우리는 좀 헤매느라 걷고
P0 	: 그래서 충분히 소화를 시켰는데 말이야?@
P1 	: 멎아!!!!!! ㅋㅋㅋㅋㅋㅋㅋ 오지힐 찾기위해
P1 	: 약간 꼬불꼬불 돌아다녔어
P1 	: ㅋㅋㅋㅋㅋㅋㅋ아 근데맛있었어
P1 	: 음료도 맛있었는데..
P1 	: 하 진짜루 또 가고싶다
P0 	: 그치그치
P0 	: 나 아직도 생생해 ㅠㅠㅠㅠㅠㅠ
