# FILE DATA
ID : MDRW2100039298
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  4
contact_frequency  :  주 3회 이상

P1 	: 추석이라고
	  비도 오고해서 물가 다 올랐더라ㅜㅠ
P1 	: 친구들집ㅋ
P1 	: 민폐인가ㅎ
P1 	: ㅋㅋㅋ
P0 	: 아 ㅋㅋ 나와 사는구나
P0 	: 친구들한테 물어봐바
P1 	: ㅋㅋㅋ모르겠어서ㅋ
P1 	: 응ㅋ
P1 	: 나중에 나옴 함 물어봐야지ㅋ
P0 	: 점심은 먹었나
P1 	: 원치않게 아침 못먹고 바로 점심 먹었더니
P1 	: 폭풍흡입ㅋ
	  메뉴도 좋아어 치즈등갈비ㅎ
P0 	: 헐 내가 어제먹은거랑 메뉴 똑같네 ㅋㅋ
P0 	: 나도 점심 조금 먹었더니 배고파죽겠당
P1 	: 등갈비 맛있지~~
P0 	: 싸이버거 먹고싶다 맘스터치 안먹은지 오래됐네
P1 	: 오늘 등갈비에 냉국 나왔는데
	  여기 회사에서 먹은 냉국  중 젤 맛있었어
	  항상 식초 맛이 강해서 맛 좀 보다 말았었는데
	  오늘은 식초 맛이 안강하고 마실수있을정도로 식초가 약하고 미역이 꼬들하니 짭잘해서 간이 맞더라고ㅎ
P1 	: 맘스터치 안좋아졌다는 얘기가 많아서 안가지더라
P0 	: 전에 보니 양이 줄은거 같긴하더라 빵이 작아짐
P1 	: 속이 작아졌다던데 빵까지 작아졌어?
	  심하네 예전처럼 돌아옴 모를까 자주 먹긴 힘들어졌네
P0 	: 속은 전부터 작아졌고 가장최근에 먹었을땐 빵도 작아진 느낌? 그래도 다른 프랜차이즈보단 괜찮아
P1 	: 그래? 햄버거 한번씩 먹음 맛있는데
	  맘 편히 선택할곳이 없네
P1 	: 아쉬워라
P0 	: 난 맘터랑 버거킹이 젤 낫더라 근데 버거킹도 점바점 심하더라구
P1 	: 맞다 버거킹 점바점 심하더라
	  여기꺼 생각하고 마산점 갔었는데 거진 2배차이느낌
P0 	: 이제 &address&점 없어짐ㅜㅜ 그거라도 있어서 배달시켜먹었었는데ㅜ
P1 	: 배달 시켜먹던곳이면 아쉽겠다ㅜㅜ
P0 	: ㅇㅇ 버거킹 할인도 자주해서 햄버거 먹고싶을때 시켜먹기 좋았는데
P0 	: 이제 &address&동에 크게 생겼더라 거기는 맛있었던거 같아
