# FILE DATA
ID : MDRW2100003985
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 공연이나 전시회 티켓을 예약해본 적 있어?
P1 	: 있어요 근데 존댓말해주시겠어요ㅎㅎ
P0 	: 실례했습니다, 제가 생각이 짧았어요. 어떤 공연을 관람하고 싶어서 예약하셨나요?
P1 	: 저는 전시회티켓 예약한적 있었는데요
P1 	: 최근갔다온게 그 맥시달튼 영화의순간들이었구요
P0 	: 저는 크루엘라를 영화관에서 봤던 게 가장 최근이에요
P0 	: 코로나 전에는 공연을 보기 위해 열심히 티케팅도 했는데 요즘은 거의 온라인으로 전환되어 그 때의 절박함은 만이 떨어졌어요
P1 	: 오 저는 그거 보고싶었는데 어느순간보니까 내렸더라구요ㅠ
P1 	: 그렇군요 근데 확실히 그게있는거같긴해요
P1 	: 온라인 오프라인 공연이든 영화든 뭐든간 확실히 다르더라구요
P0 	: 막 엄청난 반전이나 치밀한 짜임새가 있는 영화는 아니었지만 배우의 비쥬얼이 너무나라 추천해요!
P0 	: 왜 코로나 전에 온라인 공연보다 오프라인 공연에 사람들이 목을 메었는지 요즘 실감하고 있어요
P1 	: 친구가 추천했어서 봐야지하다가 끝나서너무아쉬워요 재개봉은 안하겠죠ㅜㅜ
P1 	: 저도그래요 그전에는 너무 당연해서 생각도안하고있었거든요
P1 	: 근데 이게 다르더라구요 영화빼고 공연같은거는 그 텐션이 다른느낌같아요
P0 	: 영화도 무서운 영화는 옆에서 친구랑 손 잡고 봐야하는데
P0 	: 요즘 그러려면 팔이 아플 거리더라구요ㅠㅠㅠ
P0 	: 텐션이 다르다는 말 정말 공감해요..분위기가 그게 아닌 느낌이에요
P1 	: 맞아요 그맛에 오프라인으로 보는거같아요 이게 같은내용에 그런거라도 분위기나 텐션 상황에따라 되게 다르더라구요 특히 콘서트나 연극이런건 더 그러겠죠ㅎㅎ
P0 	: 대학로 연극도 좋았는데 요즘에는 갈 엄두가 안 나요
P0 	: 티켓 예약할 때 좋은 자리 노리고 친구들한테 용병을 부탁하기도 했는데 요즘은 그럴 필요가 없네요ㅎㅎ
P1 	: 와 진짜 찐이시군요ㅎㅎ저는 초보라서 그냥 가서 보는걸로 소소하게 만족해요
P0 	: 저는 오히려 자리 집착때문에 더 힘든 것 같아요ㅠㅠ 조금 어긋나면 아쉬운 마음이 드니까요!
P1 	: 그렇군요 저는 그냥 가는거에의의를둬서 그냥 가성비로가는거같아요
P0 	: 공연이 늦은 시간에 끝나면 꾸역꾸역 지하철이나 버스 타고 집 가는 것도 나름 추억이었는데
P1 	: 예를들면 뮤지컬은 어차피 배우들성량이커서 진짜큰장소아니면 다들리고 가까이본다고 잘보이지않아서 그냥 전 저렴한자리보는거같아요 대신많이보고싶어서 뮤지컬이든 연극이든 뭐든요
P1 	: 좀 박리다매같아요ㅎㅎ
P0 	: 뮤지컬은 그렇다고 하더라구요..저도 나중에 한 번은 제일 좋은 자리에서 보고 싶어요
P0 	: 가격이 매우 부담되겠지만요...
P1 	: 저두요 그냥꿈이긴한데
P1 	: 브로드웨이이런데가서 진짜 원년멤버나 이런 찐공연한번보고싶기는해요 언젠가는요ㅎㅎ
P0 	: 정말 누구나 한 번쯤 생각하고 꿈꾸는 일이죠ㅎㅎ
P0 	: 막 몇 주년 기념 이런 공연 원래 홀에서 보고싶어요!
P1 	: 맞아요 진짜 진짜요
P1 	: 그날이 오겠죠ㅎㅎㅎ
