# FILE DATA
ID : MDRW2100025653
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 온라인 커뮤니티 활동 하시나요
P1 	: 네 재밌죠?
P1 	: 최신 이슈들도 보구요
P1 	: 커뮤니티 활동하세요?
P0 	: 네 저는 커뮤니티 활동 해요
P0 	: 어떤거 하시나요
P1 	: 다음 카페 인기글 봐요 ㅎㅎ
P1 	: 다양한 정보도 올라오고
P1 	: 동물 좋아하는데 동물들 짤도 많이 올라오더라구요
P0 	: 아하 그러시군요
	  저는 카톡커뮤니티를 주로 하거든요
P0 	: 다음은 잘 안봤는데 재미있나보군요
P1 	: 어떤 분야쪽 커뮤니티하시나요
P0 	: 저는 경제 그런 커뮤니티나
	  엑셀 커뮤니티해요
P0 	: 주식커뮤니티방도 있어요
P1 	: 앗 주식 커뮤니티 넘 좋네요
P1 	: 최근에 시작했거든요!
P0 	: 커뮤리티방은 그냥 정보정도만 얻어서 주식 커뮤니티는 장점이 그다지 많지 않아요ㅋㅋ
P0 	: 오 주식하는사람들끼리 한풀이하죠ㅋㅋ
P1 	: 아하 그래도 공감대 형성이 잘될것같아요
P1 	: 정모도 하시나요?
P0 	: 맞아요ㅋㅋ 그런 공감대는 생겨요
P0 	: 코로나라서 정모는 한적이 없어요
	  끝나면 할지도 싶네요ㅋㅋ
P1 	: 우와 전 정모해본적이 없어서 궁금하네요
P1 	: 전 눈팅족이거든요 ㅋㅋ
P0 	: 저도 거의 눈팅하는데 시간되면 글적어요ㅋㅋ
P0 	: 계속 보고 있지 않는 한 참여가 어렵죠ㅋㅋ
P1 	: 맞아여 ㅋㅋㅋ
P1 	: 엑셀 커뮤니티에선 꿀팁 많이 배울수 있나요?
P0 	: 아니면 파일 올리면 수정해주시기도해요ㅋㅋ
P0 	: 엑셀 커뮤니티가 유용해요
P1 	: 우와 배울게 많겠네요!
