# FILE DATA
ID : MDRW2100015210
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 앗
P0 	: 가격을 말한거였는데 시간을 말해주셨네요ㅋㅋㅋㅋ
P0 	: 아무래도 운동하면 진짜많이먹는것같아요
P1 	: 아 13만원입니닼ㅋㅋㅋ 오픈이벤트로 죽도랑 도복 무료로받고욬ㅋㅋㅋ
P0 	: 헐 한달가격이죠? 좋네요 와
P0 	: 배워보고싶어요 성인반인가요?
P0 	: 저녁먹기전 시간대인가요?
P1 	: 제가다니는덴 성인반 8시-9시! 월화수목금
P1 	: 성인반으로만 하면 아마 저녁먹기전엔 별루 없을거같네요 퇴근후여야하니까
P0 	: 와우 인원이 좀 되나요??
P0 	: 한반에 몇명인가요?
P1 	: 날마다 달라요 ㅋㅋ 성인이라서 다들 스케쥴이 잇어서그런지? 애들처럼 매일 안오더라구오
P1 	: 보통 평균 네다섯명이더라구요 ... 여기 오픈한지 두달도안된도장 !
P0 	: 와우 그래도 많이오네요ㅋㅋㅋ
P0 	: 아예기본부터 가르쳐주나요?
P1 	: 네네!! 제가 아무것도몰라서 따로 가르쳐쥬시고 조금싹 같이할수있게 ㅋㅋ
P0 	: 좋네요ㅋㅋㅋㅋ
P0 	: 저 배우고싶어아ㅡ
P0 	: 진심으로요
P1 	: ㅋㅋㅋㅋ 주변 도장 한번 알아보세용! 정말 생각보다 재밋는것같아요 전 걍 어디에 집중할게 필요해서 시작하긴했는데
P0 	: 여자도 많이
P0 	: 있나요?!
P1 	: ㅋㅋ저희도장엔 저포함 두명잇어요
P1 	: 이게 생각보다 남녀같이 할수있는 운동이기도하고
P1 	: 부담안가지고 가셔도 좋을것같아용 ㅋㅋ
P0 	: ㅋㅋㅋ 총5명중에
P0 	: 2명인가요?
P1 	: ㅋㅋㅋㅋ 네
