# FILE DATA
ID : MDRW2100019977
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 제주
principal_residence : 광주
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 이번해가 마지막일거에요ㅋ
P1 	: 저 처음 회사 왔을 때 대리님 한 분이 깽판을 치고 나가셨는데 그러고 나가고싶지만? 참고 사표만 살포시 놓고오겠죠...
P0 	: ㅋㅋㅋㅋㅋㅋ맞아요 아무리 별로여도 사람일어떻게될지몰라서
P0 	: 유종의미를 거둬야죠.......ㅎㅎ
P1 	: ㅋㅋㅋㅋ그 때 그 대리님 처음에는 그러니까 무서웠는데 지금 생각하면 사이다였어요
P1 	: 전무님방에 불려갔다가 쌍욕을 막 하면서 나오시더라구요!ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그쵸 잘싸우눈 사람 있으면 사이닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 쌍욕이요????
P1 	: 네ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그길로 사표 던지시고 나가신건가요??
P1 	: 그쵸 돌이킬 수 없는 강을 건넜죠ㅋㅋㅋㅋ
P1 	: 야이 @%@#@#야! 하면서...
P1 	: 물건 집어던지고 난리도 아니었어요
P0 	: 머시따....
P0 	: 저는 쫄보라
P1 	: 그래서 경찰이 등장했죠...!
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㄴㅇㄱ
P0 	: 경찰까지!?
P0 	: 스펙타클하네요
P0 	: 자세히얘기해주세욬ㅋㅋㅋㅋㅋ
P1 	: 자리가 대리님 근처라  물건에 맞을까봐 얼마나 조마조마했는지...
P1 	: ㅋㅋㅋㅋ처음에는 전무님이 보고할거리 들고 들어와라 해서 대리님이 들고갔는데
P0 	: 아니 도대체 얼마나 틀어지셧길래
P0 	: 팝콘각인걸요?
P1 	: 얼마안있고 갑자기 문 쾅! 하더니
P1 	: 대리님이 나오면서 회사욕에 전무님욕을 진짜...스펙터클하고 찰지게 하시더라구요?
P1 	: 대충 내용을 들어보니
P0 	: 어메이징
P1 	: 대리님은 이직해서 온 거였는데 자기가 괜찮게 계획을 짜서 올렸었나봐요
P1 	: 회사가 이대로 가면 안된다 바뀌어야한다는 식으로요
