# FILE DATA
ID : MDRW2100009294
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이것도 햐볼까요!
P1 	: 네네 ㅋㅋ
P1 	: 소개팅 해보신적 있으세요?
P0 	: 앗 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저는 소개만 해주고 받아본젓은 없어요
P0 	: &name2&님은요?
P1 	: 저는 워낙 낯가림이 심해서 안받아봤어요 ..
P1 	: 뭔가 어색하더라구요 ..ㅎㅎ
P0 	: 어유 역시
P0 	: 저는 자만추 ㅎㅎ
P0 	: 이상형은 어떻게 되세요?
P1 	: 저는 좀 차분하고 꼼꼼한 사람이 좋더라구요
P1 	: 제가 워낙 급한 성격이라 .. 좀 릴렉스되어주는 사람이 좋네요
P1 	: &name1&님은요?
P0 	: 저는 반전매력있는사람이요 !ㅎㅎ
P0 	: 어..의외로 귀엽네..?
P0 	: 하는 점을 좋아하는 것같아요
P1 	: 아 맞아요.. 매력을 발견할 수록 빠지게 되는 사람이 있죠
P1 	: 귀엽다고 느끼는 순간 정말 끝인 것 같아요 .. 귀여운건 진짜 어떤 행동이든 다 귀엽다 느껴지더라구요!
P0 	: 맞아요 ㅠㅠ
P0 	: 예쁘고 멋진것보다는 귀여움의 매력은 진짜 ㅠㅠ
P0 	: 끝을 몰라서..
P0 	: 연애관은 어때요?
P0 	: 저 그거 궁금하다! 깻잎 때주는거 ㅎㅎ
P1 	: 저는 원래 챙겨주는 스타일이라서 별 상관안해요 ..!
P1 	: 막 후드티 모자 뒤집어있는 것도 보이는즉시 해줘야하는 스타일이라서요 ..ㅎㅎ
P1 	: &name1&님은요?
P0 	: 저도 깻잎은 허용이죠
P0 	: 한국인의 정..!!
P0 	: 이라고 생각해요
P0 	: 안떼주는것도 넘 신경쓰이고 ㅋㅋㅋㅋ
P1 	: 맞아요 ..! 제가 더 신경쓰여서 먼저 떼줄 것 같긴해요
P1 	: 결혼은 생각있으세요? 전 결혼은 아직까진 생각이 없는데
P1 	: 나중에 되면 바뀔 수도 있을 것 같아요
P0 	: 저는 비혼주의라 결혼생각은 없어요 ㅎㅎ
P0 	: 혼자사는 인샹을 꿈꾸고 있거든요 ㅎㅎ
