# FILE DATA
ID : MDRW2100044715
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 기억에 남는 장소가 어디세요??
P1 	: 가장 마지막에간 아사쿠사요!
P1 	: 거기 실크푸딩이 정말 맛있었어요 ㅎㅎㅎ
P0 	: 헐 실크푸딩이라니
P0 	: 이름만 들어도 맛있겠네요
P1 	: 가시면 꼭 사오세요
P1 	: 저 그거 다시 먹고 싶은데 우리나라엔 그런거 안팔아서  너무 아쉬워요 ㅠ
P0 	: 넵 ㅠㅠㅠ 맛있던가요...
P0 	: 일반 푸딩이랑 많이 다른가요?
P1 	: 음.. 훨씬 부드러웠어요
P1 	: 커스터드 푸딩 쉽게 생각하실 수 있는데 진짜 보들보들해서
P1 	: 그러면서도 은근 튼튼해서 한국 들고 오는데 하나도 안깨졌어요
P0 	: 우리나라는 커스터드 푸딩 전문으로 파는 가게가 드물더라구요 ㅠ
P1 	: 그래서 너무 아쉬워요
P1 	: 대구에 푸딩 빙수 들어보셨나요?
P0 	: 보들보들한테 튼튼하다니 ㅠㅠ
P0 	: 일본가서 디저트랑 일식류는 진짜 맘껏 먹고와야 하는거같아요
P1 	: 진짜요! 꼭이요 저건 극구 추천하는 디저트에요!
P1 	: 일본가서 또 어떤 음식 드셔보셨어요?
P0 	: 전 가서 오마카세 먹었어요!
P1 	: 우와아앙 맛있었겠어요!!
P0 	: 맛도 그렇지만
P1 	: 호두님은 일본어를 할줄 아시나요?
P0 	: 국내 오마카세는 너무 비싸고 좀 급하게 먹는 감이 있는데
P0 	: 거긴 좀 여유로워서 좋았어요
P0 	: 아뇨! ㅋㅋㅋㅋ
P1 	: 앗 저도 못해요 ㅋㅋ 친구들한테 묻어갔어요
P1 	: 지나가다 보이는 영어가 그렇게 반가울줄을 생각도 못했다니깐요
P0 	: 그쵸 ㅋㅋㅋㅋㅋㅋ 적당히 눈치코치로 알아듣거나
P0 	: 아님 구글맵 켜서
P0 	: 같은 그림찾기 하면서 다녓어요 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋ 어떻게 여행가신거에요? 친구들과?
P0 	: 네네 친구들이랑 갔어요
P0 	: 한명이 좀 일어가 돼서
P0 	: 더듬더듬 ㅋㅋㅋㅋㅋㅋ
P1 	: 저는 친구들 2명이랑 같이갔는데
P1 	: 아니 글쎄 얘들이... 언어되면서 자꾸 저한테시키는거 있죠
P0 	: ㅋㅋㅋㅋㅋㅋ 일어 잘하시나요?
P1 	: 아이고 저는 할줄아는 말이라고는
P1 	: 아리가또 고자이마스 스미마셍
P1 	: 이게 다에요 ㅋㅋㅋ
P1 	: 가서 자꾸 말하라고 그러니까
P1 	: 영어로 했더니 거꾸로 거기 계신분들이 손짓 발짓으로 대화했잖아요..
P0 	: 아 ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저도 그랫는데 친구들이 답답했는지
P0 	: 안시키더라구요 ㅋㅋㅋㅋㅋ
P1 	: 근데도 얘들은 왜 자꾸 절 써먹을라 하는지
P1 	: (환장)
P1 	: 언어 능력자들 너무 부러워요 ㅠ
