# FILE DATA
ID : MDRW2100040992
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 1~2회

P1 	: 코울슬로 맛있게 먹어주어 고마워
P0 	: 코울슬로 제조 감사합니다
P0 	: 맛있다
P1 	: 다행이다
P1 	: 오늘은 양배추 말고 다른 재료들도 풍족해서
P1 	: 더 맛있게 된 듯
P0 	: 그런가벼
P0 	: 아주 입에 넣는순간 맛있더라고
P1 	: ㅎㅎ근데 다음번엔 같은 맛일지 보장못함
P1 	: 이번 걸 즐깁시다
P0 	: 응 최대한 맛있게 먹자
P0 	: ㅋㅋ
P1 	: 맛있게 됐을 때 최대한 즐긴다!
P1 	: 내일 아침은 새로한 밥에 찌개쓰~
P0 	: 찌개 좋지
P0 	: 내일 모레부터 도시락 온다으
P0 	: 설레네
P1 	: 오 그렇네
P1 	: 도시락 맛있으면 좋겠다
P1 	: 양도 적당하고
P0 	: 그르게
P0 	: 양은 좀 작겠지
P0 	: ㅋㅋ
P1 	: 그럼 먹다가 아쉬운디
P0 	: ㅋㅋㅋ뭐 그럼 치킨도 있고
P0 	: 먹을건 있쥐
P0 	: 요거트도 구입해야 하려나?
P1 	: 차치키용?
P0 	: 응응 겸사겸사
