# FILE DATA
ID : MDRW2100011785
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 사실상 조선시대랑 달라진게 없네요
P0 	: 어쩜 이렇게 여자가 돌봄노동을 전담하는 구조가 되었는지
P0 	: 기이해요
P1 	: 맞아요
P0 	: 맞아요 조선시댘ㅋㅋㅋ
P1 	: 사실
P1 	: 오래전부터 이어진 것들에
P1 	: 의문을 표하고 바꾸려 하니
P0 	: 맞아요 어려워요 ㅜㅜ
P1 	: 반응이 거센 것 같아요
P1 	: 비혼한다하면 이기적이다 그렇고
P0 	: 약간 한국이 래디컬 생성국 아닌가요
P0 	: 극한의 환경
P1 	: 맞아욬ㅋㅋㅋ
P1 	: 사실 자라면서 어느정도는
P1 	: 그런 의문을 갖게 되는 것 같아요
P1 	: 그냥 넘기고 살면 결혼하고 그런거고
P0 	: 맞아요 너무 기괴하니까 안볼수가없어요
P1 	: 맞아요
P1 	: 그냥 살고있는데
P1 	: 살아남으려다 보니
P1 	: 이렇게 됐어욬ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ 아니 저는 늘 의문이에요
P0 	: 세상이 이렇게 이상한데
P1 	: 아 진짜
P0 	: 왜 다들 결혼이 이상한걸 모르는짘ㅋㅋㅋ
P1 	: 맞아요
P1 	: 솔직히 아주 잘 사는 가정이 있다해도
P1 	: 그 외에 얼마나 많은데
P1 	: 이해안됩니다
