# FILE DATA
ID : MDRW2100029264
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 경남
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 네 저 눈좋아해요!
P0 	: 근데 저는 뭐 많이 보고 자라와서
P0 	: 괜찮지만
P0 	: 아이들이 못보는게 너무 아쉬워요ㅜ
P0 	: 눈사람한번 못만들어보고..흑흑
P1 	: 앗 그러네요 어른들은 눈이 악마의 똥가루같은 거지만
P1 	: 아이들은 아니죠ㅠㅠ
P0 	: 악마의똥가루ㅋㅋㅋㅋㅋㅋㅋㅋㅋ  너무웃긴표현이네요 ㅋㄱㅋ
P0 	: 거제는  거의 조선업이거든요
P0 	: 그래서 눈이오면
P0 	: 일이 올스탑이에요 ㅋㅋㅋ 그냥 못하는거!ㅋㄱㅋ
P1 	: 헐 그래요???
P0 	: 근데 뭐 그런날이없네요~ 눈이안오니까요^^;
P1 	: 혹시 비가 와도 그런가요???
P0 	: 전국적으로 눈이..라고하지만  전국에서 저희만 빠진다는요
P0 	: 아니요 ㅎㅎ;ㅠ
P1 	: 아이곸ㅋ쿠ㅜㅜㅠ
P0 	: 비는 상관없어요
P1 	: 다른나라 같겠어요
P1 	: 오
P1 	: 좀 신기하네요 같은 물인데요
P0 	: 태풍이 영향이있죠 ㅎㅎ
P1 	: 태풍 오면 올스탑인가요???
P0 	: 오웅 너무 쌀쌀해서 지금 문을 닫고자야하나 말아야하나 엄청 고민되네요 ㅋㅋㅋ
P0 	: 네네 ㅋㅋ
P0 	: 태풍에따라서 다르지만요 ㅋㅋ
P0 	: 뭐 이와중에 나가는사람도 분명 있겠쭄ㅋㅋ?
P0 	: 코로나 때문에 셧다운이 몇번 됐었죠ㅠㅠ
P1 	: 와ㅠㅠㅠㅠ 태풍이 오는데 나오시는거면 진짜 너무 대단하시네요
P1 	: 아....코로나....그렇겠네요
P0 	: 오우 바람 너무 무서워요
P0 	: 지난주였나요 ~ 태풍올때
P1 	: 아침 기온은 보통 어떤 편이예요?
P1 	: 넹넹
P0 	: 거제에 천둥번개가 엄청엄청 심하게 쳤어요!
P1 	: 아!!
P0 	: 지금 20도정도네요^^
P1 	: 막 하늘 무너질 정도로요??
P1 	: 문 닫고 주무시는게 나으시겠네요
P1 	: 기온이 정말 가을날씨네요...
P0 	: 그래야겠어요ㅠ 남편은 시원하겠지만 애기들이 감기걸릴까봐 걱정이네요
P0 	: 전 에어컨켜고 이불덥고 자는 사람이라 딱좋은데
P0 	: 꼬맹이둘은 이불을 안덥거든요ㅜ
P1 	: 앗 꼬맹이들 있으면 진짜 그러네요
P1 	: 환절기라 애들 감기 잘 걸리더라구요ㅠㅠㅠ
P0 	: 유치원꼬맹이들은 이불을 주면 발로 차고 그냥자네요?ㅜㅜ
P0 	: 맞아요ㅠ 일교차커지면서
P0 	: 조심해야하죠 ~~
P0 	: 전이만 자러가볼게요!  악마의똥가루~ 잊지못할거에요ㅋㅋㅋㅋㅋㅋ  낼또뵐수있길~~~^^/
P0 	: 빗소리가 너무 좋은 밤이네요~
