# FILE DATA
ID : MDRW2100015580
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P1 	: 뭐 뭐살라고?ㅋㅋㅋㅋ
P1 	: 하늘구름향 향수 사고 싶어
P0 	: 공식굿즈야?ㅋㅋㅋㅋㅋ
P0 	: 나 어제 파워 소비함ㅋㅋㅋ
P0 	: 헤어식초랑 핸드크림 수면유자팩 삿당ㅋㅋㅋ
P1 	: 아니 저번에 말한거같은데ㅋㅋㅋ 성운이가 팔로우미에서 직접 조향한 향이야ㅋㅋ
P1 	: ㅋㅋㅋㅋ헤어식초는 왜?
P0 	: 아 ㅋㅋㅋ 그때 그거
P0 	: 지성두피에 좋댕ㅋㅋㅋㅋ 두피영양도 주고 이거하고나면 떡도 덜 진대
P1 	: 오ㅋㅋㅋㅋ
P1 	: 난 이거 냄새 덜나게 해준다는거만 알았어ㅋㅋ
P1 	: 정수리 냄새날때 헤어식초 쓰라곸ㅋㅋㅋㅋㅋ
P0 	: 아 내가 산 제품이 저렇대 모든 제품이 지성두피에 좋은지는 모르겠음
P0 	: 유튜브연두부인가 연두콩인가 이사람이 엄청 추천하더라
P1 	: ㅋㅋㅋㅋㅋㅋ연두부ㅋㅋㅋㅋ
P1 	: 한번 써보고 후기알려죠
P0 	: 홓 어제 이미 써봤지
P0 	: 머리에서 좋은 정내 나는건 알겟엌ㅋㅋㅋㅋㅋ
P1 	: 굿소비했네ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이래서 월급은 그저 스쳐지나가고잇다......
P1 	: ㅋㅋㅋㅋ난 월급도 없는데 스쳐지나감..
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 아... ..
P0 	: 너무 슬픈말이여
P1 	: 왜.....
P1 	: 나도 취업하고 돈 많이 쓸거야...
P1 	: 사고싶은게 너무 많아ㅠㅠ
P0 	: 그래서 진짜 월급 받자마자
P0 	: 세제랑 치약이랑
P0 	: ㅋㅋㅋㅋ 나 최근에 좀 많아짐
P0 	: 생필품사고 화장품 사고...
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 난.... 돈도 없는데 왜자꾸 사냐..
P1 	: 그래도 다행히 화장품 욕심 사라졌어
P0 	: ㅋㅋㅋㅋㅋㅋ그나마 다행인건가
P0 	: 난 지금 기초없어서 크림 사야해
P0 	: 화장품이래도 다 생필품으로.....필요한것들...ㅜㅜ
P0 	: ㅋㅋㅋ 근데 뭘 그렇게 산겅8
P0 	: 산거야
P1 	: 니트하나 사구.. 요즘 먹을거 자주 산듯??ㅋㅋ
P0 	: 오...옷 삿네
P0 	: 나도 옷사고싶다 벌써 가을옷 나왔더라
P0 	: 먹을거는 떡볶이 그거?ㅋㅋㅋㅋ
P1 	: 떡볶이랑 파바빵도 사고 마켓컬리도 주문하고...
P1 	: 몰라... 나 왜그래??
P0 	: ㅋㅋㅋㅋㅋ가을와서 그런거 아니갘ㅋㅋㅋ
P0 	: 가을에 원래 식욕포텐터지자나
P1 	: ㅋㅋㅋㅋㅋㅋ그런가
