# FILE DATA
ID : MDRW2100023235
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이상형은 새 같은 사람이요.. ㅋㅋㅋㅋ
P1 	: 새요?
P1 	: 어떤 느낌이지
P1 	: 연옌으로 따지면??
P0 	: 카리나
P0 	: 조미연
P0 	: 쯔위
P0 	: 그냥 평범한.. ㅋㅋㅋ
P0 	: 위중에 아시는 연옌 있어요?
P1 	: 아니 다아는데 어디가 평범하죠?!!!!!!
P1 	: 다 이쁜애들ㅋㅋㅋ
P0 	: 다들 뭔가 딱 새같지 않나여?
P0 	: 호리호리하고 머리작고..
P1 	: 새라면 뭔가 더 ㅋㅋㅋ 날까로운 애들 말할줄 ㅋㅋㅋ
P1 	: 어나더 레벨이죠 그들은ㅋㅋㅋ
P0 	: 이상형 동물로 비유하면 뭐에요?
P1 	: 음 뭐려나 쌍커플 없는 무쌍이 좋아요 ㅋㅋ
P0 	: 곰같은?
P1 	: 아녀 ㅋㅋㅋㅋ
P0 	: 사자같은?
P1 	: 키큰사람 ?
P0 	: 아... 두더지같은? ㅋㅋㅋ
P1 	: 두더지 ㅋㅋㅋ뭐져 ㅋㅋㅋ
P0 	: 이광수 스타일 좋아하세여? 아님 서장훈?
P1 	: 그둘중이라면 이광수요 ㅋㅋㅋ
P0 	: ㅋㅋㅋ 기린이구나..
P0 	: 키가 크신가봐요?
P1 	: 안커요 ㅋㅋㅋ
P1 	: 키 크시나요?
P0 	: 저 2미터에서 쪼금 모자라요.. ㅋㅋㅋ
P0 	: 한.. 25센티정도..
P1 	: 평균 아니신가요 ㅋㅋ
P0 	: 딱 평균이죠.. 몸도 마음도? ㅋㅋㅋㅋ
P0 	: 얼굴 같은거 많이 안보시나요?
P1 	: 얼굴이요?
P1 	: 연옌이라면 보지만
P1 	: 만나는사람이라면 많이 안보는거 같아요
P0 	: 그쵸.. 재력이 중요하지 얼굴이 모가 중요한가여.. ㅋㅋㅋㅋㅋ
P1 	: 재력 ㅋㅋㅋㅋ
P1 	: 현실적인 얘기가 ㅋㅋㅋ
P1 	: 결혼 하고싶으신가요?
P0 	: 전 빈곤민이라.. 현실적으로.. ㅋㅋㅋ
P0 	: 근데 카리나 나타나면 결혼하고 싶어요.. ㅍㅎㅎㅎ
P1 	: 아 카리나와 넥스트 레벨 ㅋㅋ
