# FILE DATA
ID : MDRW2100024255
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 응...................그냥전반적으로싫어......(ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: 아 말해줄 이상한 페잉 또 있는데 담에 이야기함ㅋㅋㅋ
P1 	: 하지만..사실 생각해보면 트위터는 원래 좀 음습했음 ㅎ  ㅏ 좋아....ㅋ  ㅋ ㅋ ㅋ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠㅠ ㅠㅠ
P0 	: 하여간 그래서 트친 주식 플로우 돌았단말이야
P1 	: 응ㅇ응응
P0 	: 그랫더니 사람들 다 이제 자기는 트친소 안하니까
P0 	: 상장폐지라고ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그뤄는거야~~~~
P1 	: 이거뭐냐....
P1 	: 뭔데...그게뭐냐....
P1 	: 아무리인맥이중요하다지만...
P1 	: 그게뭔데...이게뭐냐...(ㅋㅋㅋㅋ ㅠㅠ ㅠ ㅠ)ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ이제 트친소 내스급 웹툰 나와야 할거라고ㅠㅠㅠ
P1 	: 완전 돌아버린 k-트위터..
P0 	: 진짜 돌아버려~
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 내스급 웹툰 나와?! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠ ㅠ  ㅠㅠ
P0 	: 아니...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 모두의...희망사항...
P1 	: .. . .왜안나오죠 (저의희망사항이기도한...
P1 	: 덕질은 안해도...잘먹을자신있는데...성현제대답.
P0 	: 네 아빠
P0 	: 그러니까 말이얌
P0 	: 완결내고 런칭하려는건가?싶은 생각두 들고요
P1 	: 와....완전 국토대장정이네 사실 난 전독시 웹툰 나오는거 보면서
P1 	: 내스급도 나올만하지 않나..?하고 생각했었어
P1 	: 갠적으로... 둘다 쪼끔 읽어봤는데 내스급이 쫌 더 취향이어서(오타쿠임
P0 	: 저도요....
P0 	: 진짜로...아이돌 팬덤쪽 본적 있어?
