# FILE DATA
ID : MDRW2100013278
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요! 최근에 보신 영화 있으세요?
P1 	: 저는 최근에 크루엘라 봤었어요!
P0 	: 오 저도 크루엘라 봤었는데! 어떠셨어요?
P1 	: 되게 재밌게 봤어요.. 전 줄거리도 모른체 갓서 봤었는데
P1 	: 영화자체도 정말 화려하고 다들 연기 너무 잘하구...
P1 	: 의상 보는 재미가 쏠쏠했어요
P0 	: 맞아요 엠마 스톤 옷이 완전 화려하고 영상미도 보는 맛이 있더라구요?
P0 	: 괜히 디즈니가 아니더라구용 ㅋㅋㅋ
P0 	: 근데 디즈니치곤 내용이 좀 다크 했던거 같아용
P1 	: 디즈니는 진짜 믿고보는것같앙ㅅ
P1 	: 아요!
P0 	: 맞아요 ㅎㅎㅎ 그런데 뭔가 크루엘라는 스토리가 조금 밍숭맹숭이여서 고건 좀 아쉬웠어요
P1 	: 그쵸.. 스토리만 보고 영화보기에는 아쉬웠어요
P1 	: 대신 워낙 영상미나 배우들의 연기가 좋으니까
P1 	: 특히 영상미 보는맛으로 봤던것같아요
P0 	: 맞아요 ㅠㅠ 달마시안 101마리도 기대했는데 달마시안은 안 나오더라구용 ?? 담편에 나오려나
P1 	: 다음편 나오면 꼭 나왔으면 좋겠어요
P1 	: 강아지들 얼마나 귀여운데..ㅠㅠ!!
P0 	: 다음편 나오면 그것도 볼 거 같아요 꼬물이들이 101마리라니..
P0 	: CG 만드시는분은 엄청 고생하실 거 같아요 ㅋㅋㅋㅋ
P1 	: ㅠㅠㅠㅠㅠㅠ
P1 	: 디자인 하는 친구들 있어서 가끔 보면
P1 	: CG 진짜 엄청 노가다더라구여...
P1 	: 그래도 고생한만큼 돈 받겠죠..?
P0 	: 앗... 근데 저도 디쟌하는 친구들보면 노력 대비는 못 받는 거 같아여...
P0 	: 보는 사람만 즐거운...!!
P1 	: ㅠㅠㅠㅠㅠㅠ 슬프네여...ㅠㅠ
P0 	: 그래두 넘 멋진 거 같긴해요 ㅎㅎㅎ
P0 	: 최근에 보신 드라마 있으세요?
P1 	: 드라마는... 안본지 너무 까마득하네요...
P1 	: 최근에 재밌게 보신거 있으신가요?
P1 	: 저는 정말 최근이 시그널..?ㅠ
P0 	: 저는 최근에 알고있지만 재밌게 봤어요!
P0 	: 시그널 궁금했는데 재밌나요??
P1 	: 시그널 진짜 짱이에요...ㅠㅠㅠㅠ
P1 	: 제가 생방 진짜 안달리는데... 시그널은 어쩔수 없었어요...ㅠㅠ
P0 	: 헉 다들 인생드라마라는데엔 이유가 있군요!!
P0 	: 다른 김은희 작가 작품들도 좋아하세요??
P1 	: 네!! 싸인도 너무 재밌게 봤었고
P1 	: 그 킹덤?인가 그건 좀비나온다고 해서 아직 못보고 있는데.. 신작 지리산 기대하고있어요!
P0 	: 앗 좀비물은 안 좋아하시나봐용!
P0 	: 지리산도 그 작가님 작품인지 몰랐어요 대박
P0 	: 배우진 진짜 빠방하던데
P1 	: 맞아요!
