# FILE DATA
ID : MDRW2100007597
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 와 저 최근에 후드집업샀어요 기모로
P1 	: 겨울준비시작하고있다고요
P0 	: 와 벌써 가을준비하세여?
P0 	: 혹시 곰이신지
P0 	: 아니
P1 	: 아놔
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 겨울잠...준비합니다. 사실 목도리도 벌써 보고 있러요
P0 	: 닉네임은 가을인데
P0 	: 겨울에.진심이셨군요
P0 	: 저는 요즘 참나무 알갱이 사고싶어요
P1 	: 네....
P0 	: 그 피톤치드 아시나요
P1 	: 참나무...알갱이요? 네
P0 	: 피톤치드 알갱이
P1 	: 아
P0 	: 아나 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 헐 그걸 팔아요?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 네네 그 무슨 나무 알갱이같은거 있는데
P0 	: 그거 옷장에 넣어놓으면
P0 	: 옷에서 피톤치드향 난다고그러더라고요
P1 	: 약간 편백나무 알맹이 그거 같은건가...아 아니네
P0 	: 어 맞아요
P0 	: 편백나무
P0 	: 그게 생각이 안낚어요
P0 	: 진짜 감삼다 찰떡같이 알아들어주셔거
P1 	: ?? 네?
P0 	: 국어원도 어이없겠다
P1 	: 참나무.......?
P0 	: 편백나무 알갱이
P0 	: 죄송해요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 후드집업 뭐라할게 아닌
P0 	: 참나무? 뭐 고기구워드시나요?
P1 	: 아 진짜 완전웃겨
P1 	: 저 인터넷에 지금
P1 	: 참나무 쓰고왔는데 없어서 물어보려고
P0 	: 편백나무 알갱이 추천합니다
P1 	: 했거든요...
P0 	: 그래도 어케 발견하셨대요 편백나무
P1 	: ㅋㅋㅋㅋㅋ제가 아는 알갱이가 그거밖에없다고요ㅠㅠㅠ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 유일하게 아는 알갱이 : 편백나무
P1 	: 그거 정사각형 형태 그거 얘기하시는거 맞죠?
P0 	: 아무거 말하는 사람: 참나무
P0 	: 근데 그 원형 알갱이도 있어요
P0 	: 편백나무
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 헐 그래요??
P0 	: 그거 보자기같은데 넣어서
P1 	: 저 당연히 정사삭형 그거인줄...
P0 	: 제습으로 활용하고 그러더라고요
P0 	: 요즘 넘 사고싶더라고요
