# FILE DATA
ID : MDRW2100025312
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 커피한잔하시죠
P1 	: 안그래도 맛있는 커피 땡겼는데
P1 	: 슬프네요
P0 	: 카누 돌체라떼 맛잇움
P0 	: 분홍색
P1 	: 부지런한 사람들은 출근하면서 사오던데
P1 	: 돌체라떼 메모
P0 	: 카페에서요? 갑부네
P0 	: 저는항상 탕비실
P1 	: 간식이랑 커피랑 또 뭐있어요?
P0 	: 라면이요 ㅋㅋㅋㅋㅋ
P0 	: 비상식량
P0 	: 젤리 마카롱 쿠키 등등
P1 	: 와 대박
P1 	: 그냥 라운지네요?
P0 	: 제가말안했었나요? 제가먹고싶은거 애들간식명목으로 시킨다고 ㅋㅋㅋㅋ
P1 	: 우린 커피 차 몇개 음료수 이게 끝인데
P0 	: 탑시크릿이에요
P1 	: 아 그게 그렇게 되나ㅋㅋㅋㅋ
P0 	: 아이스크림도 산더미로있음
P1 	: 헐ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 애들말 잘들으면간식주고 말안들으면 안줌
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 애들은 몇살이에요?
P0 	: 초1부터 고2까지있슴다
P0 	: 초1 진짜 때리고싶어요
P0 	: 등짝한대만
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 보육원이에요?
P0 	: 저진지한데 왜웃으시죠 심각합니다
P0 	: 거긴생활시설이고 저는 이용시설이요
P1 	: 초글링이 생각났어요
P1 	: ㅇㅎ
P1 	: 뭔지 모르지만 다르구나
P0 	: 저번주에 선풍기하나 뿌셔먹엇거든요 초1짜리가
P1 	: 아이거
P0 	: 사무실에 에어컨도없어서 빡치는데
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: adhd애라 묶어놀수도없고
P0 	: 여기서 진짜 제대로배우는건 나는 절대 애 이렇게안키운다 에요 ㅋㅋㅋㅋㅋㅋ
P1 	: 엄청 심한가보네
P0 	: 진짜 심각한애들 많음ㅋㅋㅋㅋㅋㅋㅋ 엄청재밌을껄요 얘기들으면
P0 	: 재미라기보다는 듣고나서 입안닫힐듯
P0 	: ㅇㅁㅇ 이표정
P1 	: ㅋㅋ적당히 놀아주고 혼내고 그러지 않을까요
P1 	: 애들 날뛰는건 유치원까지만 봐줌
P0 	: 아 가정사요 ㅋㅋㅋ가정사
P1 	: 아 가정사
P1 	: 무책임하게 키우는 사람들 많죠..
P0 	: 여기 한두명빼고 다그렇게키우드라구요
P0 	: 불쌍한애들 진짜많음
P1 	: 무슨 마인드로 그러나 싶음
P1 	: 본인이 그렇게 자라서 그런건가 생각도 해보고
P0 	: 키울형편도 안되는데 왜 애낳는지 모르겟음
P1 	: 흥부도 아니고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 놀부가 선녀였다
P1 	: 참된 아빠였다..
P1 	: 크고나서 깨닫습니다
