# FILE DATA
ID : MDRW2100025321
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 난이도 골라주세요 순한맛 중간맛 매운맛
P1 	: 제가 맵찔이라
P1 	: 매운맛 ㄱㄱ
P0 	: 초3짜리 남자애 얘기임
P1 	: 넹
P0 	: 지금은 모자가정인데
P0 	: 원래는 미혼모시설에서 살다가 자립한다고 원룸구해서 사는중
P1 	: 아이고..
P1 	: 시작부터 조졌네
P0 	: 알고보니 엄마밑에 딸린자식들이 8명이고
P1 	: ?
P0 	: 나머지 7명 다 아빠가다름
P1 	: ????
P0 	: 다 입양보내졌음
P1 	: 와
P0 	: 지금은 막내랑 둘이사는중
P1 	: 내 세금..
P1 	: 저런 사람한테 가는구나
P1 	: 돌겠네요 진짜
P1 	: 답도 없네
P1 	: 막내가 초3이면
P1 	: 어휴
P0 	: 근데 더 얼척없는거 알려줄까요? ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 난진짜 기초수급자 제대로파악좀했음좋겠음
P0 	: 충분히 일할능력되고 그러면 자활이라고 구청에서 일자리 꽂아주는데
P0 	: 자활안하고 수급비만 받게되면 한달에 80정도임
P1 	: 꽤 주네요
P0 	: 자활하면 최대 80까지벌수있음
P0 	: 그럼한달에 160
P0 	: 근데 얘네엄마 일하기싫어서 귀찮아서임 ㅋㅋㅋㅋ
P1 	: 괜찮네 쉬운 일일테고
P0 	: 그냥집에서 놀고먹는데
P0 	: 애는 맨날 라면만먹이고
P1 	: 와
P0 	: 자기는 수급비 받으면 일주일안에 다씀
P1 	: 사람새.끼가 아닌데
P0 	: 재작년인가 노트8이 새로나왓엇는데
P0 	: 핸드폰가게가서 현금으로 노트8사옴
P0 	: 그날 수급비다썻다고 애엄마한테 돈빌려달라고전화오고
P1 	: 골이 비었네
P1 	: 무슨 생각으로 사냐
P1 	: 참...
P0 	: 최근에도 집근처 술,집에서 혼자 술먹다가
P0 	: 외상이 20만원인가
P1 	: ?ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 자기는 혼자 수급비로 술,ㅊ먹고
P0 	: 애가 울드라구요 엄마만 맨날 맛잇는거사먹고
P1 	: 언변은 좋나봐요 외상도 하고
P0 	: 자기는 라면만준다고
P1 	: ....
P0 	: 여기주변에 대게집이 있는데 아는 기초수급자 언니랑 대게집에서 50만원어치먹음
P0 	: 술도 말술이라 한짝씩먹는대요
P1 	: 지.랄났네
P0 	: 글고 먹성도 상상초월로좋음
P1 	: 먹는걸로 푸네요 딱보니
P0 	: 초3짜리 애도 짜장면 3그릇먹고
P0 	: 그정도로 먹성 엄마닮은듯
P1 	: ㅠ.. 보고 배우면 안되는데
P1 	: 참던게 터지는듯
P0 	: 애 옷도 6월까지 패딩입힘ㅋㅋㅋㅋ
P1 	: ?
P0 	: 근데 심지어 엄마도 기모에 패딩입고다니더라구요
P0 	: 제정신아님ㅋㅋㅋㅋ
P1 	: 강아지도
P1 	: 그렇게 안 키울듯
P1 	: 아니 애 7명..
P1 	: 레전든데
P0 	: 심하죠
P0 	: 더심한거있음
P1 	: 애들이 무슨 죄야
P0 	: 미혼모시설은
