# FILE DATA
ID : MDRW2100044228
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 코울슬로는 어케만들어요
P1 	: 양배추 양파 파프리카까지 다지고
P1 	: 저는 햄이랑 캔옥수수도 첨가해요
P1 	: 거기에 코울슬로 드레싱
P0 	: 우와 드레싱은 어디서요?
P1 	: 드레싱 만들어서 썼는데
P1 	: 최근에 보니 마트에서 드레싱 팔더라고요
P1 	: 거기에 레몬즙이랑 머스터드 좀더 넣고
P1 	: 만들어요
P0 	: 와... 마싯겟다
P0 	: 멋져용
P1 	: 네네 맛있어요
P1 	: &name1&님은 뭐 드셨나요
P0 	: 제육이요
P0 	: 잡에서 가져왓어용
P1 	: 홈멩드 제육이네요
P1 	: 홈메이드
P0 	: ㅋㅋㅋㅋ 네 가끔 가져와요
P0 	: 간식 아이스크림
P1 	: 오 아이스크림 좋죠
P0 	: 배라 조아하심 ?
P1 	: 네 좋아해요
P0 	: 어떤맛 이용?
P1 	: 바람과함께사라지다
P1 	: 제일 좋아해요
P0 	: 헐 저도 그거조아함
P0 	: 거기 치케 맛잇죠
P0 	: 배라 바함사 너무 부드러워용
