# FILE DATA
ID : MDRW2100014760
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 맞아요 맞아요
P1 	: ㅋㅋㅋ그쵸~~
P1 	: 번따도 비슷한 느낌이에요
P0 	: 맞아요
P0 	: 뭘안다고 따는건지
P0 	: 물론 알아가보자고 따는거긴한데
P0 	: 약간 그 환상을 갖고있을거라는게 넘 부담스럽더라고요
P1 	: 오 맞아요 사실 나에대해 얼마나 안다고 그러지?라는 생각도 들고
P1 	: 전 사실 상대방에 대해 모르잖아요
P0 	: 맞아요 맞아요!!!!!!
P0 	: 글고 넘 무서운것도 있어요
P1 	: 그쵸 요즘 너무 안좋은 일들도 많아서 괜히 경계할것같아요
P1 	: 그사람이 이상한사람이면 ㅠㅜ
P0 	: 맞아요 ㅜㅜㅜ 뉴스에 나오게되는 거라고요ㅠㅠㅠ까딱하면 ㅠㅠ
P0 	: 너무 무섭다 세상
P1 	: 휴! 진짜 유니콘같은 사람까진 안바라는데 괜찮은 분 찾기 넘 어렵네요
P0 	: 맞아요ㅠㅠㅠ
P0 	: 걍 정신만 똑바로 박혀있길
P1 	: ㅋㅋㄱㄲㅋ맞아요 정신만 똑바로 박혀있고 가치관만 맞으면 괜찮은데 말이에요
P1 	: 얼굴 많이 보시는 편이세요?
P0 	: ㅇㄴ 넵
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 얼굴 vs 피지컬
P0 	: 당신의 선택은?!
P1 	: 앜ㅋㅋㅋㅋㅋㅋ하...어렵네요...
P1 	: 피지컬은 솔직히 저보다 1센치라도 크고 너무 깡말라만 아니면 괜찮아서 얼굴이요
P0 	: 아나
P0 	: 와
P0 	: 와...
P0 	: 피지컬을 안고른다..?
P0 	: 와 신기
P1 	: 앜ㅋㅋㄱㅋㅋㅋㅋ
P1 	: 하 너무 어렵
P1 	: 아  근데 피지컬 생각하니까
P1 	: 또 너무 아쉬운데요....?
P1 	: 아니 저 바꿀게요,,,후
P1 	: 안되겠다
