# FILE DATA
ID : MDRW2100045566
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 좌욕 했어요 ^-^ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아..
P0 	: 혼자 좋은거 하셨네요 ㅂㄷㅂㄷ
P0 	: 이런..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 틀린말은 아니잖아요~
P0 	: 그쳐... 암튼 병원 갔었는데
P0 	: 요즘 젊은 여성 환자들이 굉장히 많대요
P0 	: 앉아있는 시간도 길지만 부끄러워서 숨기고 괜찮겠지 두는 경우가 많대요
P0 	: 혹시 피 나오시면 바로 병원가세요!
P1 	: ㅋㅋㅋㅋ 네!
P1 	: 그래도 피는 난적없어요 ㅠㅋㅋㅋㅋㅋ
P1 	: 요새 좀 건강해져보려고 뭐 이것저것 하는데
P1 	: 매운음식부터 줄여야겠네요...
P0 	: 그리고 좌욕은 평소에도 해주면 좋으니까 시간 내서 가끔 하세요 ㅋㅋㅋ
P0 	: 유난 같지만 진짜 겁나 아프답니다
P0 	: 칼날이 돈고에 있는 기분이었어요
P0 	: 저 변기에 앉아서 울었어요
P0 	: 농담아니에요
P1 	: ㅠㅠㅠㅠㅠ
P1 	: 꼭 명심할게요..
P1 	: 약간 지금 의사선생님 앞에 있는기분?
P1 	: 아파서 병원가면 의사선생님 앞에서 잘못한걸 다 불거든요...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 약간 그런기분...ㅠㅋㅋㅋㅋㅋ
P0 	: &name2&님은 매운거 먹는거부터 이실직고 하셔야해요
P0 	: 그리고 어!
P0 	: 손가락 넣으신다구요..
P1 	: ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 잘못했습니다...
P1 	: 안먹을게요...
P1 	: 아까도 마라탕먹었지맘...
P1 	: ^-^...
P0 	: 하지만 칼날에 비하면 그거는 아무것도 아니에요
P0 	: 그냥 장갑끼던 손 장갑 벗은거마냥 아무렇지도 않아요
P0 	: 건강할때 관리해요 우리
P1 	: 좋아요
P1 	: 약속합니다..
P1 	: 매운거 줄이고 . . 운동도 하구 . . .
P1 	: ...(가능할까)
P0 	: 좌욕필수
P1 	: 오케이...
P1 	: 아니 좌욕 전도사 자격증있으세요?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ
P0 	: 주면좋겠네요
P0 	: 엄청 얘기하고 다니는데 .ㅋㅋㅋ
P0 	: 계속 강조하는 이유가 통증 줄여주고 풀어주는것도 있지만
P0 	: 항문질환 초기증상의 경우에는 좌욕만으로도 치료가 가능하대요
P0 	: 근데 그건 절대 저희가 판단하는건 아니고 꼭 의사랑 상담하셔야하구요
P0 	: 대신 조금이라도 완화 할수 있는 방법이라 강조한거에요 ㅋㅋㅋ
P1 	: 감사합니다...ㅠㅠㅋㅋㅋㅋ
P1 	: 정말 진심이시군요
P1 	: 멋져요
