# FILE DATA
ID : MDRW2100004216
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: &name2&님 요즘 쇼핑리스트에 있는 물건이 있나요
P1 	: 제 쇼핑리스트에는 예전에 필사하려고 담아둔 노트가 있네요
P1 	: 다른 노트를 사서 살 일은 없어졌지만...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와 노트 상상도 못했어요
P0 	: 전 사고싶은게 너뮤 많어요 다 다 사고싶어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저는 물욕이 딱히 없어서
P0 	: 보드게임도 사고싶고 게임칩ㄷㅎ 사고싶고
P1 	: 필요한 것만 담고 사고 하네요
P0 	: 문제는 담아놓고 사진 않아요
P1 	: ㅋㅋㅋㅋㅋㅋ저 닌텐도 스위치 사고 싶었는데
P0 	: 오오오오오
P1 	: 정말 필요한가 사면 얼마나 오래 쓸 것인가 한참 고민하다가
P0 	: 스위치 신형 나왔잖아요
P1 	: 1년이 넘게 지난 아직까지 멋사고 있어요
P0 	: 별로 안써요..ㅎ
P0 	: 같이 할 친구 없으니까 의욕 0
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ엄마가 돈 반반 내고 살거냐고 꼬셨는데
P1 	: 그냥 안사기로 했어요
P0 	: 아앗...
P0 	: 어머님이랑 같이 하시면 재밌을거같아요
P0 	: 전 같이 할 사람이 통신 안하면 사촌동생뿐이라
P1 	: 동숲 하고 싶으셨나봐요
P0 	: 오오오오오오
P1 	: 예전에 nds 동숲 엄마랑 저랑 호메 샛이서 했는데
P0 	: &name2&님은 사셨으면 어머님이 더 잘 즐기셨겠어요
P1 	: 호메 매일 집에 이상한거 갖다놓고
P1 	: 엄마 매일 과일 줏어다 판 푼돈으로 빚갚고
P1 	: 저 혼자만 빚갚는 소년가장 된 느낌...
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 한 집에 셋이 사는데 돈은 혼자 벌어오시네요
P1 	: 네... 근데 호메가 자꾸 돈 벌어다 이상한 가구 사와서 빡쳐서 그만둔...
P0 	: 호메가 잘못했네요
P0 	: 모동숲은 각자집에서 생활하는거라 괜찮을텐데 아쉽네요
P1 	: 아 모동숲은 따로 살아요?
P1 	: 빚도 따로 갚고..?
P0 	: 예
P0 	: 각자 집이거든요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 와 꿀이네
P1 	: 그렇죠 그렇게 해야죠...
P0 	: &name2&님이 제일 빨리 텐트에서 집으로 바뀔것같네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그럴지도 몰라요
