# FILE DATA
ID : MDRW2100025684
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오 그런 류 좋아하시는구나
P1 	: 전 사실 의학드라마?는 잘 못봐요.
P1 	: 좀 피나오고 메스나오고 그런걸 못견디는편이에요
P0 	: 사실 그아는
P0 	: 의학 반
P0 	: 1 9금 반
P0 	: 이라ㅋㅋㅋㅋㅋ
P0 	: 그럼 봤던 미드는 뭐 있으세요?
P1 	: 좀 예전이긴 한데
P1 	: 재밌게 봤던건 빅뱅이론이요ㅋㅋㅋ
P0 	: 앜ㅋㅋㅋ미드계의 조상
P0 	: 괴짜들이잖아요
P0 	: 그당시엔 너무 어려울거같아서 안 보다가
P0 	: 나중에 봐야지했는데 재밋나요?!
P1 	: 뭐 어려운 소리 쏼라쏼라하는데
P1 	: 굳이 깊게 이해 안해도 돼요
P1 	: sf물에 양자역할 어쩌구저쩌구 해도
P1 	: 걍 뭐 좀 대단한, 현재는 없는 기술을 썼구나 정도로 넘어가면 되는것처럼요
P1 	: 양자역학...입니다...ㅎㅎ
P0 	: 하하하.....
P0 	: 더 미뤄야겠네요ㅋㅋㅋ
P0 	: 유치하긴 해도 가십걸도 재밌게 봤어요
P1 	: 그러실필요없는데
P1 	: 그냥 문이과 개그를 좀 스케일업 한 느낌이에요
P1 	: 가십걸 전 짤?로는 많이 봤어요ㅋㅋㅋ
P0 	: 미란다 라고 아세요?
P0 	: 영국 시트콤인데
P1 	: 앗 알아요.
P1 	: 그 웃기다는 분
P1 	: 역시 토막영상으론 봤어요.
P0 	: 아ㅎㅎ풀영상으로 봐도
P0 	: 되게 재밌어요
P1 	: 한번 봐야지 봐야지 싶으면서도
P1 	: 그렇게 되더라구요
P1 	: 그 배우님 영화 스파이에서 봤는데
P1 	: 아주 씬스틸러! ㅋㅋㅋ
P0 	: 진짜요??
P0 	: 함 봐야겠어요ㅋㅋㅋ전 미란다 시트콤에서만
P0 	: 봤어서
P1 	: 분량이 많지는 않은데
P1 	: 나오실때마다 특유의 억양? 제스처? 가 넘 재밌어요
P1 	: 영화자체도 가볍고 재밌게 볼만한 내용이에요
