# FILE DATA
ID : MDRW2100042180
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 어제 텀블벅 오랜만에 구경하는데
P0 	: 통장 없어질 뻔 했다...
P1 	: ㅋㅋ
P1 	: 텀블벅... 아무래도 그런 편이지
P1 	: mz세대 잘알
P0 	: 고양이 오르골 봄?
P1 	: 님이 탐라에 가져와서 봄
P1 	: 왕귀여움
P0 	: 노래도 지브리 음악 들어가서
P1 	: 맞아
P0 	: 어제 밤에 구경하다가 눈물흘림
P1 	: 커마 엄청 다양하더라
P0 	: 고영이들... 행복해...
P1 	: 귀여움...
P1 	: 하... 고영좋아
P0 	: 살까 말까 고민했는데
P0 	: 참았다...
P1 	: 고여이...
P1 	: 텀블벅...
P1 	: 구경하면 정말 재밌는데
P1 	: 통장은 안 재밌음
P0 	: ㄹㅇ
P0 	: 솔직히 살 거 없을 줄 알고
P0 	: 대충 쭉 내리고 있었는데
P0 	: 준비되지 않은 집사에게 훌쩍 다가온 어쩌고...
P1 	: ㅋㅋ
P1 	: 근데진짜...
P1 	: 귀여웠어
P0 	: ㄹㅇ...
P1 	: 님네고영 커마해보고싶었음
P0 	: 가격도... 그정도면
P0 	: 제법 혹한
P1 	: ㄹㅇ
P1 	: #가시나요
P0 	: ...그래도 그러기엔 큰 돈이라
P0 	: 재고 남아있긴 한가 어제 봤을 때 별로 안 남았던데
P1 	: 그렇군요...
P0 	: 오만원짜리는 품절이네
P0 	: 예상했다
