# FILE DATA
ID : MDRW2100035116
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 필리핀 호주 대만가봤어요!
P0 	: 앗 대만!!
P1 	: 전 안당해봣지만
P1 	: 진짜 많은가봐요ㅠㅠ
P0 	: 와 여행 많이 다니셨네요
P1 	: 어마 ㅋㅋㅋㅋㅋ나
P0 	: 부러워요ㅠ
P1 	: 대만아니고 태국이에요ㅠㅠㅋㅋㅋ
P0 	: 아ㅋㅋㅋㅋ
P1 	: 대만은 가보고싶은곳인데
P1 	: 튀어나왓네요 ㅋㅋㅋ
P0 	: 저희 엄마 태국 가셨을때 말린망고 잔뜻 사오셨는데 너무 맛있더라구요
P0 	: 저도 대만 가고싶어용ㅋㅋㅋ
P1 	: 맞아여ㅠㅠ 필리핀망고보다 ㅋㅋㅋ태국망고가
P1 	: 더더 맛잇어요ㅠㅠ
P1 	: 대만 음식도 잘맞데용 !!
P0 	: 대만 유명한 음식 보니까
P1 	: 전원래 아시아음식도 좋아해서 고수도 잘먹어요 ㅋㅋ
P0 	: 다 맛있어보이더라구요
P0 	: 엇 저두요!ㅋㅋㅋ
P0 	: 쌀국수엔 고수ㅋㅋ
P1 	: 와!!!!역쉬
P1 	: 아시는자!!먹고싶네요ㅠㅠ
P0 	: 그러게요ㅠㅠ
P1 	: 꼼양꿍도 드세요!?
P0 	: 고수 안들어가면 전 살짝 느끼하더라구용
P0 	: 네네!
P0 	: 한국에는 라면이 있듯이
P0 	: 태국에도 똠양꿍식 라면이 있나봐요
