# FILE DATA
ID : MDRW2100007445
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 일상 트렌드>메타버스(가상세계) 서비스

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 태블릿/패드
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>형제자매
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 그래
P0 	: 메타버스 알아?
P1 	: ㅇㅇㅇㅇ
P1 	: 당연히알지
P0 	: 약간 퍼피레드같은거임
P1 	: 안다고!!!!
P0 	: 근데 만약에 만약에
P1 	: 응
P0 	: 퍼피레드에서 수업듣는다고 하면 엄청 웃길듯
P0 	: 퍼피레드같은데서
P1 	: 근데 동영상을 보는거랑 화상으로하는거랑다르잖아
P0 	: 메타버스는 화상이 아니지
P0 	: 가상현실이지
P1 	: 그니깐
P1 	: 근데 아 그럼
P0 	: 수업이 아니라는건가?
P1 	: 좀 예쁘게 꾸미고 싶잖어
P0 	: 수업하는데 뛰어다니고
P1 	: 돈이 너무 많이 들어
P1 	: 선생님 제 캐릭터가 누워 있는 침대좀 옮길게요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 강퇴 각
P0 	: 강퇴면 퇴학인가
P1 	: 막 거기서 꽃비내려
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 생일에는 캐템쏘기
P1 	: 하면 자꾸 수업하는데 꽃비내리고 ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 캐템 너무행
P1 	: ㅠㅠ
P0 	: 힝
P1 	: 힝구힝구
P1 	: 퍼피레드가 대한민국 메타버스 1호선이야
P1 	: 빨리 살려내!!!!!
