# FILE DATA
ID : MDRW2100025808
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경북
principal_residence : 경북
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 비와요?
P1 	: 일단지금은 비그쳤는데
P1 	: 저 오늘 아침에 우산챙겨놓고
P1 	: 비  다 맞아서
P1 	: 물에젖은생쥐꼴마냥
P1 	: .......
P1 	: 하루가재수없었던 하루였어요......
P1 	: ㅠㅠ
P0 	: 그쵸 갑자기 비오면 그렇죠
P1 	: 갑자기 비온게 아니라....우산챙겼는데
P1 	: 비오고있는중 우산 스틸당해서 잠깐 내려났는데
P1 	: 눈깜짝할사이에
P1 	: 저는 비  다 맞고 움직였네요
P1 	: ㅇㅅㅇ
P0 	: 아 찝찝하겟네요
P1 	: 자연건조로 말려서.....
P1 	: ㅜㅜ
P0 	: 전 그러면 냄새날까봐 신경
P1 	: 씻고자야하는데ㅜㅜㄱ
P0 	: 그쵸
P1 	: 날씨가너무싨네요ㅜㅜ
P0 	: 습해서
P1 	: 그니깐요...
P1 	: 비가싫은건 진짜 어쩔수가없네요
P1 	: 오늘하루 비때문에 고생을해서
P1 	: 에휴
P0 	: 따뜻히 있어요 감기 걸릴리9
P0 	: 라
P0 	: ?흐리죠?
